"","Package","LibPath","Version","Priority","Depends","Imports","NeedsCompilation","Built","whereat"
"mosaicCalc","mosaicCalc","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.0.0), mosaicCore","methods, stats, MASS, mosaic, ggformula, magrittr, rlang","no","4.0.0","CRAN"
"mosaicCore","mosaicCore","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,"R (>= 3.0.0),","stats, dplyr, lazyeval, rlang, tidyr, MASS","no","4.0.0","CRAN"
"mosaicData","mosaicData","C:/Users/Ilya/Documents/R/win-library/4.0","0.18.0",NA,"R (>= 3.0.0)",NA,"no","4.0.0","CRAN"
"mosaicModel","mosaicModel","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.0",NA,"R (>= 3.1), mosaicCore, splines, dplyr","caret, ggplot2, ggformula, lazyeval, knitr, MASS, testthat,
tibble, tidyr, tidyverse","no","4.0.0","CRAN"
"msm","msm","C:/Users/Ilya/Documents/R/win-library/4.0","1.6.8",NA,NA,"survival,mvtnorm,expm","yes","4.0.0","CRAN"
"mstate","mstate","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.12",NA,"survival (>= 3.1)","RColorBrewer","yes","4.0.0","CRAN"
"muhaz","muhaz","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.6.1",NA,"R(>= 2.3)","survival","yes","4.0.0","CRAN"
"multcomp","multcomp","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-13",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools","no","4.0.0","CRAN"
"multicool","multicool","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-11",NA,"methods, Rcpp (>= 0.11.2)",NA,"yes","4.0.0","CRAN"
"munsell","munsell","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,NA,"colorspace, methods","no","4.0.0","CRAN"
"mvbutils","mvbutils","C:/Users/Ilya/Documents/R/win-library/4.0","2.8.232",NA,"R (>= 3.3)","utils, tools, stats, graphics","no","4.0.0","CRAN"
"mvnfast","mvnfast","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.5",NA,NA,"Rcpp (>= 0.12.0)","yes","4.0.0","CRAN"
"mvtnorm","mvtnorm","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-1",NA,"R(>= 3.5.0)","stats, methods","yes","4.0.0","CRAN"
"naniar","naniar","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble (>= 2.0.0), magrittr,
stats, visdat, rlang, forcats, viridis, glue, UpSetR","no","4.0.2","CRAN"
"ncdf4","ncdf4","C:/Users/Ilya/Documents/R/win-library/4.0","1.17",NA,NA,NA,"yes","4.0.0","CRAN"
"ncmeta","ncmeta","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.5",NA,"R (>= 3.3.0)","dplyr, rlang, RNetCDF, tibble, stats, tidyr","no","4.0.0","CRAN"
"ndjson","ndjson","C:/Users/Ilya/Documents/R/win-library/4.0","0.8.0",NA,"R (>= 3.2.0)","Rcpp, data.table, tibble","yes","4.0.0","CRAN"
"neighbr","neighbr","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.3",NA,"R (>= 3.3.0)",NA,"no","4.0.0","CRAN"
"network","network","C:/Users/Ilya/Documents/R/win-library/4.0","1.16.0",NA,"R (>= 2.10), utils","tibble, magrittr","yes","4.0.0","CRAN"
"networkD3","networkD3","C:/Users/Ilya/Documents/R/win-library/4.0","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr","no","4.0.0","CRAN"
"networkDynamic","networkDynamic","C:/Users/Ilya/Documents/R/win-library/4.0","0.10.1",NA,"R (>= 3.0.0), network (>= 1.16.0)","statnet.common, methods","yes","4.0.0","CRAN"
"NHANES","NHANES","C:/Users/Ilya/Documents/R/win-library/4.0","2.1.0",NA,"R (>= 3.0)",NA,"no","4.0.0","CRAN"
"nleqslv","nleqslv","C:/Users/Ilya/Documents/R/win-library/4.0","3.3.2",NA,NA,NA,"yes","4.0.0","CRAN"
"nloptr","nloptr","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.2.2",NA,NA,NA,"yes","4.0.2","CRAN"
"NLP","NLP","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-0",NA,"R (>= 3.2.0)","utils","no","4.0.0","CRAN"
"nnls","nnls","C:/Users/Ilya/Documents/R/win-library/4.0","1.4",NA,NA,NA,NA,"4.0.0","CRAN"
"nortest","nortest","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-4",NA,NA,"stats","no","4.0.0","CRAN"
"np","np","C:/Users/Ilya/Documents/R/win-library/4.0","0.60-10",NA,NA,"boot, cubature, methods, quadprog, quantreg, stats","yes","4.0.0","CRAN"
"numbers","numbers","C:/Users/Ilya/Documents/R/win-library/4.0","0.7-5",NA,"R (>= 3.1.0)",NA,"no","4.0.0","CRAN"
"numDeriv","numDeriv","C:/Users/Ilya/Documents/R/win-library/4.0","2016.8-1.1",NA,"R (>= 2.11.1)",NA,"no","4.0.0","CRAN"
"nycflights13","nycflights13","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 3.2)","tibble","no","4.0.0","CRAN"
"OceanView","OceanView","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.5",NA,"plot3D, plot3Drgl, R (>= 3.2)","methods, graphics, grDevices, stats, rgl, shape","yes","4.0.0","CRAN"
"odbc","odbc","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.3",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, rlang,
Rcpp (>= 0.12.11)","yes","4.0.0","CRAN"
"officer","officer","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.12",NA,NA,"R6, grDevices, zip (>= 2.0.3), uuid,stats, magrittr,utils,
xml2 (>= 1.1.0), graphics","no","4.0.2","CRAN"
"opencpu","opencpu","C:/Users/Ilya/Documents/R/win-library/4.0","2.2.0",NA,"R (>= 3.0.0)","evaluate (>= 0.12), httpuv (>= 1.3), knitr (>= 1.6), jsonlite
(>= 1.4), remotes (>= 2.0.2), sys (>= 2.1), webutils (>= 0.6),
curl (>= 4.0), rappdirs, zip, mime, protolite, brew, openssl","no","4.0.2","CRAN"
"OpenMx","OpenMx","C:/Users/Ilya/Documents/R/win-library/4.0","2.17.4",NA,"R (>= 3.5.0)","digest, MASS, Matrix, methods, Rcpp, parallel","yes","4.0.0","CRAN"
"openNLP","openNLP","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-7",NA,NA,"NLP (>= 0.1-6.3), openNLPdata (>= 1.5.3-1), rJava (>= 0.6-3)","no","4.0.0","CRAN"
"openNLPdata","openNLPdata","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.3-4",NA,NA,"rJava (>= 0.6-3)","no","4.0.0","CRAN"
"openssl","openssl","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.2",NA,NA,"askpass","yes","4.0.2","CRAN"
"openxlsx","openxlsx","C:/Users/Ilya/Documents/R/win-library/4.0","4.1.5",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","yes","4.0.0","CRAN"
"optmatch","optmatch","C:/Users/Ilya/Documents/R/win-library/4.0","0.9-13",NA,"R (>= 2.15.1), survival","Rcpp, RItools, digest, stats, methods, graphics","yes","4.0.0","CRAN"
"ordinal","ordinal","C:/Users/Ilya/Documents/R/win-library/4.0","2019.12-10",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv","yes","4.0.0","CRAN"
"ore","ore","C:/Users/Ilya/Documents/R/win-library/4.0","1.6.3",NA,NA,NA,"yes","4.0.0","CRAN"
"osmar","osmar","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-7",NA,"R (>= 2.10), methods, XML, RCurl, geosphere",NA,"no","4.0.0","CRAN"
"oz","oz","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-21",NA,NA,"graphics","no","4.0.0","CRAN"
"pack","pack","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-1",NA,NA,NA,NA,"4.0.0","Other"
"packagefinder","packagefinder","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.1",NA,"tools (>= 3.4.0)","httr, utils, jsonlite, pander, formattable, stringr, crayon,
lubridate, tidyr, textutils, htmlTable","no","4.0.0","CRAN"
"packrat","packrat","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.0.0)","tools, utils","no","4.0.0","CRAN"
"pacman","pacman","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils","no","4.0.0","CRAN"
"padr","padr","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.0.0)","Rcpp, dplyr (>= 0.6.0), lubridate, rlang","yes","4.0.0","CRAN"
"pagedown","pagedown","C:/Users/Ilya/Documents/R/win-library/4.0","0.10",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.13), httpuv, xfun,
websocket","no","4.0.0","CRAN"
"pak","pak","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.2)","assertthat, base64enc, callr (>= 3.0.0.9002), cli (>= 1.0.0),
cliapp (>= 0.0.0.9002), crayon (>= 1.3.4), curl (>= 3.2), desc
(>= 1.2.0), filelock (>= 1.0.2), glue (>= 1.3.0), jsonlite,
lpSolve, pkgbuild (>= 1.0.2), pkgcache (>= 1.0.3), prettyunits,
processx (>= 3.2.1), ps (>= 1.3.0), R6, rematch2, rprojroot (>=
1.3.2), tibble, utils","no","4.0.0","CRAN"
"palmerpenguins","palmerpenguins","C:/Users/Ilya/Documents/R/win-library/4.0","0.0.0.9000",NA,"R (>= 2.10)",NA,"no","4.0.2","GitHub repo = allisonhorst/palmerpenguins"
"pan","pan","C:/Users/Ilya/Documents/R/win-library/4.0","1.6",NA,NA,NA,"yes","4.0.0","CRAN"
"pander","pander","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.3",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","yes","4.0.0","CRAN"
"parameters","parameters","C:/Users/Ilya/Documents/R/win-library/4.0","0.8.0",NA,"R (>= 3.2)","bayestestR (>= 0.5.0), insight (>= 0.8.1), methods, stats,
tools, utils","no","4.0.0","CRAN"
"parsedate","parsedate","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.0",NA,NA,"rematch2","yes","4.0.0","CRAN"
"partitions","partitions","C:/Users/Ilya/Documents/R/win-library/4.0","1.9-22",NA,"R (>= 3.6.0)","gmp, polynom, sets","yes","4.0.0","CRAN"
"partools","partools","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.6",NA,"regtools,parallel,stats,utils,data.table,pdist,methods",NA,"no","4.0.0","CRAN"
"party","party","C:/Users/Ilya/Documents/R/win-library/4.0","1.3-5",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","yes","4.0.0","CRAN"
"partykit","partykit","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-9",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)","yes","4.0.2","CRAN"
"pastecs","pastecs","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.21",NA,NA,"boot, stats, graphics, utils, grDevices","no","4.0.0","CRAN"
"pbapply","pbapply","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-2",NA,"R (>= 3.2.0)","parallel","no","4.0.0","CRAN"
"pbivnorm","pbivnorm","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,NA,NA,"yes","4.0.0","CRAN"
"pbkrtest","pbkrtest","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-8.6",NA,"R (>= 3.6.0), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, magrittr, MASS, methods","no","4.0.0","CRAN"
"pbmcapply","pbmcapply","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.0",NA,"utils, parallel",NA,"yes","4.0.0","CRAN"
"pcaPP","pcaPP","C:/Users/Ilya/Documents/R/win-library/4.0","1.9-73",NA,NA,"mvtnorm","yes","4.0.0","CRAN"
"pcse","pcse","C:/Users/Ilya/Documents/R/win-library/4.0","1.9.1.1",NA,NA,NA,"no","4.0.0","CRAN"
"pder","pder","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-1",NA,"R (>= 3.5.0)",NA,"no","4.0.0","CRAN"
"pdftools","pdftools","C:/Users/Ilya/Documents/R/win-library/4.0","2.3.1",NA,NA,"Rcpp (>= 0.12.12), qpdf","yes","4.0.0","CRAN"
"pdist","pdist","C:/Users/Ilya/Documents/R/win-library/4.0","1.2",NA,"methods",NA,NA,"4.0.0","CRAN"
"pec","pec","C:/Users/Ilya/Documents/R/win-library/4.0","2019.11.03",NA,"R (>= 2.9.0), prodlim (>= 1.4.9)","foreach (>= 1.4.2), rms (>= 4.2-0), survival (>= 2.37-7),
timereg (>= 1.8.9)","yes","4.0.0","CRAN"
"penalized","penalized","C:/Users/Ilya/Documents/R/win-library/4.0","0.9-51",NA,"R (>= 2.10.0), survival, methods","Rcpp","yes","4.0.0","CRAN"
"performance","performance","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.7",NA,"R (>= 3.2)","insight (>= 0.8.1), bayestestR (>= 0.5.0), stats, utils","no","4.0.0","CRAN"
"PerformanceAnalytics","PerformanceAnalytics","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo","yes","4.0.0","CRAN"
"permutations","permutations","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-6",NA,NA,"magic,numbers,partitions (>= 1.9-17)","no","4.0.0","CRAN"
"permute","permute","C:/Users/Ilya/Documents/R/win-library/4.0","0.9-5",NA,"R (>= 2.14.0)","stats","no","4.0.0","CRAN"
"petrinetR","petrinetR","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.1",NA,"R(>= 3.0.0)","dplyr, visNetwork, DiagrammeR, xml2, purrr","no","4.0.0","CRAN"
"pglm","pglm","C:/Users/Ilya/Documents/R/win-library/4.0","0.2-2",NA,"R (>= 2.10), maxLik, plm","statmod, Formula","no","4.0.0","CRAN"
"pillar","pillar","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.6",NA,NA,"cli, crayon (>= 1.3.4), ellipsis, fansi, lifecycle, rlang (>=
0.3.0), utf8 (>= 1.1.0), vctrs (>= 0.2.0)","no","4.0.2","CRAN"
"pins","pins","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.3",NA,"R (>= 3.2.0)","backports, base64enc, crayon, digest, filelock, httr,
jsonlite, magrittr, mime, openssl, rappdirs, withr, yaml, zip","no","4.0.2","CRAN"
"pitchRx","pitchRx","C:/Users/Ilya/Documents/R/win-library/4.0","1.8.2",NA,"R (>= 2.15.1), ggplot2 (>= 0.9.3)","XML2R (>= 0.0.6), plyr, MASS, hexbin, mgcv","no","4.0.0","CRAN"
"piton","piton","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.1",NA,NA,"Rcpp","yes","4.0.0","CRAN"
"pivottabler","pivottabler","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.0",NA,"R (>= 3.3.0)","R6 (>= 2.2.0), dplyr (>= 0.5.0), data.table (>= 1.10.0),
htmltools(>= 0.3.5), htmlwidgets (>= 0.8)","no","4.0.0","CRAN"
"pkgbuild","pkgbuild","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.8",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)","no","4.0.0","CRAN"
"pkgcache","pkgcache","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.0",NA,"R (>= 3.1)","assertthat, callr (>= 2.0.4.9000), cli (>= 2.0.0), curl (>=
3.2), digest, filelock, glue, prettyunits, R6, processx (>=
3.3.0.9001), rappdirs, rlang, tibble, tools, utils, uuid","no","4.0.2","CRAN"
"pkgconfig","pkgconfig","C:/Users/Ilya/Documents/R/win-library/4.0","2.0.3",NA,NA,"utils","no","4.0.0","CRAN"
"pkgload","pkgload","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.0",NA,NA,"cli, crayon, desc, methods, pkgbuild, rlang, rprojroot,
rstudioapi, utils, withr","yes","4.0.0","CRAN"
"pkgmaker","pkgmaker","C:/Users/Ilya/Documents/R/win-library/4.0","0.31.1",NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringi,
magrittr, stringr, xtable, withr, bibtex (>= 0.4), assertthat","no","4.0.0","CRAN"
"PKI","PKI","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-7",NA,"R (>= 2.9.0), base64enc",NA,"yes","4.0.0","CRAN"
"plm","plm","C:/Users/Ilya/Documents/R/win-library/4.0","2.2-3",NA,"R (>= 3.1.0)","MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik,
Rdpack, Formula, stats","no","4.0.0","CRAN"
"plogr","plogr","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.0",NA,NA,NA,"no","4.0.0","CRAN"
"plot3D","plot3D","C:/Users/Ilya/Documents/R/win-library/4.0","1.3",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods","no","4.0.0","CRAN"
"plot3Drgl","plot3Drgl","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.1",NA,"rgl, plot3D, R (>= 3.2.3)","grDevices","no","4.0.0","CRAN"
"plotluck","plotluck","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,"R (>= 3.1)","grid, Hmisc (>= 3.17.4), quantreg (>= 5.26), scales (>=
0.4.1), plyr (>= 1.8.4), hexbin (>= 1.27.1), RColorBrewer (>=
1.1.2), ggplot2 (>= 2.2.0)","no","4.0.0","CRAN"
"plotly","plotly","C:/Users/Ilya/Documents/R/win-library/4.0","4.9.2.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr, jsonlite (>= 1.6), magrittr, digest,
viridisLite, base64enc, htmltools (>= 0.3.6), htmlwidgets (>=
1.3), tidyr, hexbin, RColorBrewer, dplyr, tibble, lazyeval (>=
0.2.0), rlang, crosstalk, purrr, data.table, promises","no","4.0.0","CRAN"
"plotrix","plotrix","C:/Users/Ilya/Documents/R/win-library/4.0","3.7-8",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils","no","4.0.0","CRAN"
"pls","pls","C:/Users/Ilya/Documents/R/win-library/4.0","2.7-2",NA,"R (>= 2.10)","grDevices, graphics, methods, stats","no","4.0.0","CRAN"
"plumber","plumber","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.6",NA,"R (>= 3.0.0)","R6 (>= 2.0.0), stringi (>= 0.3.0), jsonlite (>= 0.9.16),
httpuv (>= 1.2.3), crayon","no","4.0.0","CRAN"
"plyr","plyr","C:/Users/Ilya/Documents/R/win-library/4.0","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","yes","4.0.0","CRAN"
"pm4py","pm4py","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.7",NA,NA,"reticulate (>= 1.11), bupaR, petrinetR, purrr, stringr","no","4.0.0","CRAN"
"pmml","pmml","C:/Users/Ilya/Documents/R/win-library/4.0","2.3.1",NA,"XML","methods, stats, utils, stringr","no","4.0.0","CRAN"
"pmmlTransformations","pmmlTransformations","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.3",NA,NA,NA,"no","4.0.0","CRAN"
"png","png","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-7",NA,"R (>= 2.9.0)",NA,"yes","4.0.0","CRAN"
"polspline","polspline","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.19",NA,NA,"stats, graphics","yes","4.0.0","CRAN"
"Polychrome","Polychrome","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.5",NA,"R (>= 3.5.0)","colorspace, scatterplot3d, methods, graphics, grDevices,
stats, utils","no","4.0.0","CRAN"
"polyclip","polyclip","C:/Users/Ilya/Documents/R/win-library/4.0","1.10-0",NA,"R (>= 3.0.0)",NA,"yes","4.0.0","CRAN"
"polycor","polycor","C:/Users/Ilya/Documents/R/win-library/4.0","0.7-10",NA,"R (>= 3.3.0)","stats, mvtnorm, Matrix","no","4.0.0","CRAN"
"polynom","polynom","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-0",NA,NA,"stats, graphics","no","4.0.0","CRAN"
"pool","pool","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.4.3",NA,"R (>= 3.0.0), methods","DBI, R6, dplyr, dbplyr, later","no","4.0.0","CRAN"
"popEpi","popEpi","C:/Users/Ilya/Documents/R/win-library/4.0","0.4.8",NA,"R (>= 3.2.0)","Epi (>= 2.0), survival, data.table (>= 1.10.4)","no","4.0.0","CRAN"
"prabclus","prabclus","C:/Users/Ilya/Documents/R/win-library/4.0","2.3-2",NA,"R (>= 2.10), MASS, mclust",NA,"no","4.0.0","CRAN"
"pracma","pracma","C:/Users/Ilya/Documents/R/win-library/4.0","2.2.9",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils","no","4.0.0","CRAN"
"praise","praise","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.0",NA,NA,NA,"no","4.0.0","CRAN"
"prediction","prediction","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.14",NA,"R (>= 3.5.0)","utils, stats, data.table","no","4.0.0","CRAN"
"prefmod","prefmod","C:/Users/Ilya/Documents/R/win-library/4.0","0.8-34",NA,"R (>= 3.0.0), stats, graphics, gnm (>= 1.0-0), colorspace","grDevices, utils","yes","4.0.0","CRAN"
"prettycode","prettycode","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.0",NA,NA,"crayon, utils","no","4.0.0","CRAN"
"prettyunits","prettyunits","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,NA,NA,"no","4.0.0","CRAN"
"printr","printr","C:/Users/Ilya/Documents/R/win-library/4.0","0.1",NA,NA,"knitr (>= 1.16)","no","4.0.0","CRAN"
"pROC","pROC","C:/Users/Ilya/Documents/R/win-library/4.0","1.16.2",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","yes","4.0.0","CRAN"
"processanimateR","processanimateR","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.3",NA,"R (>= 2.10)","bupaR, processmapR (>= 0.3.1), rlang, magrittr, dplyr, tidyr,
htmlwidgets, DiagrammeR (>= 1.0.0), grDevices, stringr,
htmltools","no","4.0.0","CRAN"
"processmapR","processmapR","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.4",NA,NA,"dplyr, bupaR (>= 0.4.0), edeaR (>= 0.8.0), DiagrammeR (>=
1.0.0), ggplot2, ggthemes, stringr, purrr, data.table, shiny,
miniUI, glue, forcats, hms, RColorBrewer, plotly, rlang,
scales, tidyr, htmltools, Rcpp","yes","4.0.0","CRAN"
"processmonitR","processmonitR","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.0)","magrittr, ggplot2, dplyr, bupaR, edeaR, shiny, miniUI","no","4.0.0","CRAN"
"processx","processx","C:/Users/Ilya/Documents/R/win-library/4.0","3.4.3",NA,NA,"ps (>= 1.2.0), R6, utils","yes","4.0.2","CRAN"
"prodlim","prodlim","C:/Users/Ilya/Documents/R/win-library/4.0","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","yes","4.0.0","CRAN"
"proffer","proffer","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.3.0)","cli, processx, profile, RProtoBuf, utils, withr","no","4.0.0","CRAN"
"profile","profile","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.2",NA,NA,"methods, rlang, tibble, withr","no","4.0.0","CRAN"
"profileModel","profileModel","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,"R (>= 2.6.0)",NA,"no","4.0.0","CRAN"
"profmem","profmem","C:/Users/Ilya/Documents/R/win-library/4.0","0.5.0",NA,NA,"utils","no","4.0.0","CRAN"
"profvis","profvis","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.6",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr","yes","4.0.0","CRAN"
"progress","progress","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.2",NA,NA,"hms, prettyunits, R6, crayon","no","4.0.0","CRAN"
"progressr","progressr","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.0",NA,NA,"digest, utils","no","4.0.0","CRAN"
"proj4","proj4","C:/Users/Ilya/Documents/R/win-library/4.0","1.0-10",NA,"R (>= 2.0.0)",NA,"yes","4.0.0","CRAN"
"promises","promises","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","yes","4.0.0","CRAN"
"prophet","prophet","C:/Users/Ilya/Documents/R/win-library/4.0","0.6.1",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), rlang (>= 0.3.0.1)","dplyr (>= 0.7.7), dygraphs (>= 1.1.1.4), extraDistr, ggplot2,
grid, methods, rstan (>= 2.18.1), rstantools (>= 2.0.0),
scales, stats, tidyr (>= 0.6.1), xts","yes","4.0.0","CRAN"
"proto","proto","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.0",NA,NA,NA,"no","4.0.0","CRAN"
"protolite","protolite","C:/Users/Ilya/Documents/R/win-library/4.0","2.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite","yes","4.0.0","CRAN"
"proxy","proxy","C:/Users/Ilya/Documents/R/win-library/4.0","0.4-24",NA,"R (>= 3.4.0)","stats, utils","yes","4.0.0","CRAN"
"pryr","pryr","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.4",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0)","yes","4.0.0","CRAN"
"ps","ps","C:/Users/Ilya/Documents/R/win-library/4.0","1.3.3",NA,"R (>= 3.1)","utils","yes","4.0.0","CRAN"
"PSAgraphics","PSAgraphics","C:/Users/Ilya/Documents/R/win-library/4.0","2.1.1",NA,"R (>= 2.14.0), rpart",NA,NA,"4.0.0","CRAN"
"pscl","pscl","C:/Users/Ilya/Documents/R/win-library/4.0","1.5.5",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils","yes","4.0.0","CRAN"
"psych","psych","C:/Users/Ilya/Documents/R/win-library/4.0","1.9.12.31",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme","no","4.0.0","CRAN"
"Publish","Publish","C:/Users/Ilya/Documents/R/win-library/4.0","2019.12.04",NA,"prodlim (>= 1.5.4)","survival (>= 2.38), data.table (>= 1.10.4), lava (>= 1.5.1),
multcomp (>= 1.4)","no","4.0.0","CRAN"
"purrr","purrr","C:/Users/Ilya/Documents/R/win-library/4.0","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)","yes","4.0.0","CRAN"
