"","Дата","Время","№","Мастер-технолог","Машинист","Сушильщик","Накатчик","Артикул","Вес м2","Примечание","Креп-фактор","Композиция (для целлюлозы)","Белизна","Формат ОБЩИЙ","Нож центрального реза в работе","Скорость Янки","Скорость наката","Производительность при формате 2850","Производительность","Формующая часть: Скорость смесительного насоса","Формующая часть: Угол напорного ящика","Формующая часть: Разница скорости струи/сетки","Формующая часть: Скорость струи","Формующая часть: Открытие щели напорного ящика","Формующая часть: Давление на напорном ящике","Формующая часть: Температура в лотке-успокоителе","Формующая часть: Давление СВД сетки (игольчатый) ","Формующая часть: Давление промывающего спрыска сетки (веерный ВД)","Формующая часть: Натяжение сетки","Прессовая часть: Натяжение сукна","Прессовая часть: Вакуум пресс","Прессовая часть: Вакуум 1-я сукномойка","Прессовая часть: Вакуум 2-я сукномойка","Прессовая часть: Вакуум 3-я сукномойка","Прессовая часть","Прессовая часть: Динамика роста вакуума","Прессовая часть: Открытие перемычки","Прессовая часть: Обороты регулируемого вакуумного насоса","Прессовая часть: Прижим прессовоговала лицо","Прессовая часть: Прижим прессовоговала привод","Прессовая часть: Давление орошающего спрыска сукна","Прессовая часть: Давление СВД сукна","Поток: Поток в машинный бассейн","Поток: Поток массы из машинного бассейна","Поток: Рециркуляция потока","Поток: Рециркуляция потока","Поток: Нагрузка насоса плотной маассы","Поток: Открытие клапана после насоса плотной массы","Поток: Концентрация при размоле","Поток: Расход массы с браковой линии брака","Поток: Расход массы с мак.участка","Поток: Доля брака","1-ой рафинер: Потребление энергии","1-ой рафинер: Удельное потребление энергии","2-ой рафинер: Потребление энергии","2-ой рафинер: Удельное потребление энергии","2-ой рафинер: Поток на флотацию(Об.в)","2-ой рафинер: Скорость скребка №1","2-ой рафинер: Скорость скребка №2","2-ой рафинер: Толщина папки","2-ой рафинер: Уровень ","Янки-циллиндр: Давление пара Янки цилиндра","Янки-циллиндр: Перепад давления","Янки-циллиндр: Давление в главном паропроводе","Янки-циллиндр: Температура конденсата","Янки-циллиндр: Скорость продува","Колпак МЧ: Температура колпака","Колпак МЧ: Циркуляционный вентилятор","Колпак МЧ: Потребление газа","Колпак СЧ: Температура колпака","Колпак СЧ: Циркуляционный вентилятор","Колпак СЧ: Потребление газа","Вытяжной вентиятор","Влагосодержание в воздухе","Производительность конвективной сушки","Производительность контактной сушки","Балланс сушки: Конвективная","Балланс сушки: Контактная","Шаберы: Съемный","Шаберы: Крепирующий ","Шаберы: Вылет крепирующего шабера","Шаберы: Очищающий","Адгезив: Марка","Адгезив: Уставка насоса","Адгезив","Адгезив: V","Адгезив: X","Адгезив: Расход по факту","Адгезив","Релиз: Марка","Релиз: Уставка насоа","Релиз: Расход по факту","Релиз","Релиз","Релиз","Релиз","Модификатор: Марка","Модификатор: Уставка насоса","Модификатор","Модификатор: V","Модификатор: X","Модификатор: Расход по факту","Модификатор","Давление прижима втроричных вилок: Пустой вал","Давление прижима втроричных вилок: D1","Давление прижима втроричных вилок: D2","Давление прижима втроричных вилок: Конец ","Перезаправка: Давление на клеевой заправке","Перезаправка: Время стабильной ленты","Перезаправка: Время подачи клея","Перезаправка: Уровень клея в ведре ","Перезаправка: Время продувки","Перезаправка: Время торможения","Перезаправка: Коээфициент разгона","Пеногаситель: Марка","Пеногаситель: Расход","Пеногаситель: Удельный расход (2850)","Пеногаситель: Удельный расход (обрезная)","Пассиватор сетки: Марка","Пассиватор сетки: Расход","Кондиционер : Марка","Кондиционер : Расход","Глинозем: Расход","Флокулянт: Марка","Флокулянт: Расход","Коагулянт: Расход","Смола: Марка","Смола: Расход","Смола: Удельный расход (2850)","Смола: Удельный расход (обрезная)","Эксперементальный химакат: Марка","Эксперементальный химакат: Расход","Красители: Марка","Красители: Расход","Красители: Марка","Красители: Расход","Красители: Марка","Красители: Расход","Красители: Марка","Красители: Расход","Газ: Расход газа","Газ: Удельный расход газа  (2850)","Газ: Удельный расход газа (обрезная)","Пар: Расход пара","Пар: Удельный расход пара (2850)","Пар: Удельный расход пара (обрезная)","Вода: Расход свежей воды на БДМ","Вода"
"11","42372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"12","42372","1.2083333333333399","1","Коротков А. Г.","Гришечкин В. А.","Кандин Д. Н.","Сякин Е.В","БОПвл","17","прс","16","80/20","84","2750",NA,"1450","1218","3.5407259999999998","3.41649","945","1003","0.97799999999999998","1418.1","9.9","275",NA,"25","25","6.3","4.3","-28","-32","-32","-47",-139,"1","50","50","100","100","2","8","1400",NA,"1400","1","70","80","4.3","560","840","40","309","68",NA,NA,"4210","35","45","2","97.2","520","120","1615","140",NA,"420","1400","124","410","1400","193","1500","420","0.83","0.66666666666666663","0.55456570155902007","0.44543429844097998","2.6","3","30","1.8","BioTac B5","66",15.6,"4901","10.607999999999999","68","2.1644562334217508","BioRelease 80","33","33",109,4901,35.97,"7.3393185064272597",NA,NA,NA,"-94.64",NA,NA,NA,"530","470","530","530","2","3","0.5","15",NA,"10","2",NA,NA,"0","0",NA,NA,NA,NA,"30","Organopol 6425","4.9000000000000004",NA,"Kymene 920","150","42.36419310615959","43.904709219110842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"317","89.52966143101726","92.785285483054238",NA,"0","0",NA,NA
"13","42373","0.66702546296296295","3","Жигалов А. Н.","Плетнев Е. В.","Шаров И. А.","Самарин П. М.","БОПвл","17","ПРС","16.5","80/20","84","2750",NA,"1520","1269.2","3.6895644000000001","3.5601060000000002","981","1003","0.97399999999999998","1480.48","10","300",NA,"25","25","6","3.8","-29","-33","-33","-33",-128,"-8.59375E-2","50","50","105","100","2","8","1690",NA,"1690","1","68","80","4.4000000000000004","631","798","40","355","68","166",NA,"4129","35","30","2","97.4","520","110","1637","141","47","435","1400","195","425","1400","168","1500","397","0.86","0.66666666666666663","0.5633187772925764","0.43668122270742354","2.6","3.2","30","1.8","BioTac B5","55",15.6,"5137.5999999999995","8.58","55","1.6700404858299596","BioRelease 80","40","40",109,5137.6,43.6,"8.4864528184366268",NA,"5",NA,"-98.02",NA,NA,NA,"530","470","530","530","2","3","0.5","15",NA,"10","2",NA,"280","75.889717496190059","78.649343586960612",NA,NA,NA,NA,"30","Fennopol 7675",NA,NA,"Kymene 920","150","40.655205801530393","42.133576921586041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"363","98.385598039703552","101.96325615023822","4.41","1.1952630505649935","1.2387271614946296","337",NA
"14","42373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"15","42373","0.95833333333333404","2","Чумак С. В.","Воробьев С. А.","Захаров В. В.","Свитков А. А.","БОПвл","17","ПРС","16.8","80/20","84","2750",NA,"1600","1331.2","3.8697984000000001","3.734016","1043","1003","0.97499999999999998","1560","10.199999999999999","338",NA,"25","25","6.1","3.6","-31","-35","-35",NA,-101,"1","50","50","105","100","2","10","1600",NA,"1600","1","70.5","80","4.4000000000000004","507","1060","33","346","70","175",NA,"4457","35","32","2","97.4","550","170","1630","143","45.5","460","1400","200","450","1400","176","1500","462","0.91","0.70512820512820518","0.56342276551833625","0.43657723448166375","2.6","3.2","30","1.8","BioTac B5","58",15.6,"5408","9.048","58","1.6730769230769231","BioRelease 80","46","46",109,5408,50.14,"9.271449704142011",NA,"6",NA,"-104.78",NA,NA,NA,"530","470","530","530","2","3","0.5","15","11","10","2","TENSIDEF 740","280","72.355190389246118","74.986288221582342",NA,NA,NA,NA,"20","Fennopol 7675","3.95","30","Kymene 920","168","43.413114233547667","44.991772932949402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"376","97.162684236987644","100.69587275469628","4.5","1.162851274112884","1.2051367749897162",NA,NA
"16","42373",NA,"2","Чумак С. В.","Воробьев С. А.","Захаров В. В.","Свитков А. А.","БОПвл","20","СН","16.8","80/20","84","2700","a","1450","1206.4000000000001","4.1258880000000007","3.9087360000000007",NA,"1003","0.97699999999999998","1416.6499999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4901",NA,NA,NA,NA,NA,NA,109,4901,0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"Kymene 920","165","39.991390944204007","42.213134885548669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0","0",NA,NA
"17","42374","0.5","4","Ракитин А. Н.","Швачка И. П.","Ханин А. А.","Гурьев М. С.","БОПвл","20",NA,"16.3",NA,"84","2700","a","1450","1213.6500000000001","4.1506830000000008","3.9322260000000004","943","1007","0.97599999999999998","1415.2","10.6","278",NA,"25","25","6.1","4","-33","-38","-37","-54",-162,"1","50","50","105","100","2","10",NA,NA,"0",NA,"77","80","4.4000000000000004","645","1348","53","355","70",NA,NA,"4780","35","34","2","97.4","600","160","1623","146","44.3","478","1400","208","470","1400","186","1500","512","0.94799999999999995","0.76923076923076927","0.55205160365525896","0.44794839634474115","2.9","3","30","1.6","BioTac B5","53",15.6,"4901","8.2679999999999989","53","1.6870026525198938","BioRelease 80","41","41",109,4901,44.69,"9.1185472352581094",NA,"6",NA,"-111.53999999999999",NA,NA,NA,"555","530","530","530","2","3","0.5","15","11","2","3.5","TENSIDEF 740","280","67.458777266295684","71.206487114423226",NA,NA,NA,NA,"20","Fennopol 7675","3.95",NA,"Kymene 920","151","36.379554882895171","38.400641265278239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"394","94.924136581858917","100.19769972529554","4.88","1.1757101180697247","1.2410273468513762","330",NA
"18","42374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"19","42374","0.85416666666666696","3","Жигалов А. Н.","Плетнев Е. В.","Шаров И. А.","Самарин П. М.","БОПвл","20","сн","16.3",NA,"84","2700","a","1350","1129.95","3.8644289999999999","3.661038","935","1007","0.97599999999999998","1317.6","10.6","265",NA,"25","25","6.1","4","-33","-38","-37","-53",-161,"1","50","50","105","100","2","10",NA,NA,"0",NA,"67","80","4.4000000000000004","530","940","45","280","57",NA,NA,"4780","35","34","2","97.4","540","120","1630","145","44","475","1400","200","465","1400","178","1500","500","0.94","0.69230769230769229","0.57587181903864282","0.42412818096135724","2.9","3","30","1.6","BioTac B5","53",15.6,"4563","8.2679999999999989","53","1.8119658119658117","BioRelease 80","41","41",109,4563,44.69,"9.7939951786105617",NA,"6",NA,"-111.53999999999999",NA,NA,NA,"555","530","530","530","2","3","0.5","15","11","2","3.5","TENSIDEF 740","280","72.455723730465749","76.481041715491614",NA,NA,NA,NA,"20","Fennopol 7675","3.95","0","Kymene 920","125","32.346305236815063","34.143322194415902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"378","97.815227036128761","103.24940631591369","5.12","1.324904662499945","1.3985104770832752","370",NA
"20","42374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"21","42375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"22","42375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"23","42375","0.98033564814814822","4","Ракитин А. Н.","Швачка И. П.","Ханин А. А.","Гурьев М. С.","БОТ","17","СН","16",NA,"80","2700",NA,"1550","1302","3.7849140000000001","3.5857079999999999","1014","1007","0.97299999999999998","1508.1499999999999","11.3","216",NA,"25","25","6","4","-30","-34","-34","-34",-132,"1","50","50","100","100","3","10","1650","1650","0","0","76","75","4.4000000000000004","290","1030","35","260","47",NA,NA,"4600","30","30","1","97.4","570","150","1662","144","46","479","1400","213","471","1400","194","1500","497","0.95","0.73076923076923073","0.56521739130434789","0.43478260869565222","2.9","3","30","1.8","BioTac B5","47",15.6,"5239","7.331999999999999","47","1.3995037220843669","BioRelease 80","40","40",109,5239,43.6,"8.3221988929184949",NA,"6",NA,"-101.39999999999999",NA,NA,NA,"555","530","530","530","2","3","0.5","25","11","2","4",NA,"280","73.977902800433512","78.087786289346482",NA,NA,NA,NA,"20","Organopol 6425","5.5","20",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"407","107.53216585634442","113.50617507058578","4.5999999999999996","1.215351260292836","1.2828707747535493","420",NA
"24","42375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"25","42376","0.51041666666666696","2","Чумак С. В.","Городков А. Н.","Захаров В. В.","Свитков А. А.","БОТ","17","ПРС","17",NA,"80","2750",NA,"1570","1303.0999999999999","3.7881116999999995","3.6551954999999996","1026","1007","0.96699999999999997","1518.19","10.6","320",NA,"25","25","6","3.8","-28","-32","-32",NA,-92,"1","50","50","100","100","2.2000000000000002","10","1570","1570","0","0","73","75","4.4000000000000004","490","750","40","300","60",NA,NA,"4305","31","32","1","96","630","180","1640","141","39.1","450","1400","215","440","1400","197","1500","511","0.89","0.80769230769230771","0.52424105120072495","0.47575894879927505",NA,NA,NA,NA,"BioTac B5","42",15.6,"5306.5999999999995","7.02","45","1.3228809407153357","BioRelease 80","39","40",109,5306.6,43.6,"8.216183620397242",NA,NA,NA,"-94.64",NA,NA,NA,"480","490","500","510","2","3","0.5","90","11","3","4",NA,"280","73.915455027368921","76.603289755636879",NA,NA,NA,NA,"45","Organopol 6425","5.3","25",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412","108.76131239741427","112.71626921186569","4.8499999999999996","1.2803212745812116","1.3268784118387102","381",NA
"26","42376","0.6852893518518518","2","Чумак С. В.","Городков А. Н.","Захаров В. В.","Свитков А. А.","БОТ","17","ПРС","17",NA,"80","2750",NA,"1700","1411","4.1017770000000002","3.9578549999999999","1117","1007","0.96699999999999997","1643.8999999999999","10.9","376",NA,"25","25","6","3.7","-27","-31","-31",NA,-89,"-3.3707865168539325E-2","50","50","100","100","2.2000000000000002","10","1680","1680","0","0","77","75","4.4000000000000004","420","940","30","313","60",NA,NA,"4441","31","35","1","96","650","190","1640","149","41.3","489","1400","224","482","1600","209","1500","568","0.97099999999999997","0.83333333333333337","0.53814890079438382","0.46185109920561612","3.2","3","30","1.8","BioTac B5","54",15.6,"5746","8.7360000000000007","56","1.5203619909502264","BioRelease 80","53","55",109,5746,59.95,"10.433344935607378",NA,NA,NA,"-91.259999999999991",NA,NA,NA,"480","490","500","510","2","3","0.5","90","11","3","4",NA,"280","68.263096701746576","70.745391127264639",NA,NA,NA,NA,"45","Organopol 6425","5.3","25",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"433","105.56400311377239","109.4026941360914","5","1.218983869674046","1.2633105558440114","361",NA
"27","42376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"28","42376","1.0416666666666701","1","Коротков А. Г.","Гришечкин В. А.","Кандин Д. Н.","Сякин Е.В","БОТ","17","ПРС","17",NA,"80","2750",NA,"1700","1411","4.1017770000000002","3.9578549999999999","1120","1005","0.96899999999999997","1647.3","10.9","376",NA,"25","25","6","3.6","-27","-31","-31","-47",-136,"1","50","50","100","100","3","20","1680","1690","-10","-5.9523809523809521E-3","77.7","75","4.4000000000000004","450","1000","30","355","69",NA,NA,"4591","30","30","1","97","670","197","1627","150","40.200000000000003","480","1500","226","470","1650","197","1500","576","0.95","0.85897435897435892","0.52515946137491143","0.47484053862508863","3.2","3","30","1.8","BioTac B5","51",15.6,"5746","7.9560000000000004","51","1.3846153846153848","BioRelease 80","44","48",109,5746,52.32,"9.1054646710755307",NA,NA,NA,"-91.259999999999991",NA,NA,NA,"480","490","500","510","2","3","0.5","80","11","3","4",NA,"280","68.263096701746576","70.745391127264639",NA,NA,NA,NA,"40","Organopol 6425","5.3","25",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"423","103.1260353744243","106.87607302440337",NA,"0","0",NA,NA
"29","42377","0.62049768518518522","3","Жигалов А. Н.","Плетнев Е. В.","Шаров И. А.","Самарин П. М.","БОТ","17","ПРС","18",NA,"80","2750",NA,"1750","1435","4.1715450000000001","4.0251749999999999","1157","1005","0.96699999999999997","1692.25","11","397",NA,"25","25","6.1","3.8","-28","-32","-32","-48",-140,"2.8571428571428571E-2","50","50","100","100","3","20","2030","1730","300","0.14778325123152711","75","75","4.4000000000000004","260","1120","20","355","57",NA,NA,"4516","30","30","1","97","670","100","1637","149","42","495","1500","235","485","1650","206","1500","618","0.98","0.85897435897435892","0.53290574456218631","0.46709425543781369","3.2","3","30","1.8","BioTac B5","52",15.6,"5915","8.1120000000000001","52","1.3714285714285714","BioRelease 80","54","54",109,5915,58.86,"9.9509721048182591",NA,NA,NA,"-94.64",NA,NA,NA,"496","490","500","510","2","3","0.5","80","11","3","4","TENSIDEF 740","280","67.121414248198207","69.56219294813269",NA,NA,NA,NA,"40","Organopol 6425","5.3","25",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"441","105.71622744091218","109.56045389330899","4.95","1.186610716173504","1.2297601967616316","345",NA
"30","42377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,109,0,0,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"31","42377","0.98958333333333404","2","Чумак С. В.","Городков А. Н.","Захаров В. В.","Свитков А. А.","БОТ","17","ПРС","17",NA,"80","2750",NA,"1700","1411","4.1017770000000002","3.9578549999999999","1119","1005","0.96699999999999997","1643.8999999999999","10.9","374",NA,"25","25","6","3.7","-27","-31","-31",NA,-89,"1","50","50","100","100","3","20","1690","1690","0","0","77","75","4.4000000000000004","440","969","30","345","70",NA,NA,"4498","30","29","1","97","640","190","1640","147","39","490","1500","219","480","1650","198","1500","515","0.97","0.82051282051282048","0.5417442360017185","0.45825576399828155","3.2","3","30","1.8","BioTac B5","51",15.6,"5746","7.9560000000000004","51","1.3846153846153848","BioRelease 80","45","46",109,5746,50.14,"8.7260703097807166",NA,NA,NA,"-91.259999999999991",NA,NA,NA,"480","490","500","510","2","3","0.5","70","11","3","3.6",NA,"280","68.263096701746576","70.745391127264639",NA,NA,NA,NA,"45","Organopol 6425","5.3","25",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"417","101.66325473081544","105.36010035739056","4.8","1.1702245148870842","1.212778133610251","361",NA
"32","42377",NA,"2","Чумак С. В.","Городков А. Н.","Захаров В. В.","Свитков А. А.","БОТ","16","ПРС","18",NA,"80","2750",NA,"1700","1394","3.813984","3.6801599999999999","1109","1005","0.95799999999999996","1628.6","10.9","368",NA,"25","25","6.1","3.9","-27","-32","-32",NA,-91,"2.197802197802198E-2","50","50","100","100","3","20","1605","1605","0","0","75","75","4.4000000000000004","333","997","44","355","70",NA,NA,"4828","30","29","1","97","640","190","1640","149","42","462","1700","203","459","1700","190","1500","490","0.92100000000000004","0.82051282051282048","0.52885054255804709","0.47114945744195291","3.2","3","30","1.8","BioTac B5","50",15.6,"5746","7.8","50","1.3574660633484161","BioRelease 80","52","53",109,5746,57.77,"10.053950574312566",NA,NA,NA,"-91.259999999999991",NA,NA,NA,"480","490","500","510","2","3","0.5","70","11","3","3.6",NA,"280","73.414046833966793","76.083648537020139",NA,NA,NA,NA,"45","Organopol 6425","5.3","25",NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"393","103.04185859196053","106.78883526803183","4.7","1.2323072147130141","1.2771183861571236","358",NA
