"eHealth Trend Report,""logoRpt"""
Router_Comcor_Gi0/1

","""",""Bits In"",""Bits Out"""
05/04/2015 08:59:38,3653,22247184384.00000000,706418688.00000000
05/04/2015 09:59:44,3606,9682620416.00000000,480366592.00000000
05/04/2015 10:58:54,3550,6362526208.00000000,1060449792.00000000
05/04/2015 11:59:49,3655,6992346624.00000000,456729088.00000000
05/04/2015 12:59:49,3600,9945785344.00000000,617767936.00000000
05/04/2015 13:58:54,3545,1855463296.00000000,374982784.00000000
05/04/2015 14:59:44,3650,4618479616.00000000,452241408.00000000
05/04/2015 15:59:55,3611,6831019008.00000000,485863936.00000000
05/04/2015 16:58:58,3543,5030586368.00000000,404032000.00000000
05/04/2015 17:59:50,3652,5580837888.00000000,472058880.00000000
05/04/2015 18:59:57,3607,5047512576.00000000,460201984.00000000
05/04/2015 19:59:09,3552,1431802624.00000000,347789952.00000000
05/04/2015 20:59:04,3595,23018229760.00000000,569856000.00000000
05/04/2015 21:59:13,3609,14066068480.00000000,555811840.00000000
05/04/2015 22:59:15,3602,8005037568.00000000,572999680.00000000
05/04/2015 23:59:18,3603,12124079104.00000000,614390784.00000000
06/04/2015 00:59:52,3634,5076452352.00000000,469113856.00000000
06/04/2015 01:59:04,3552,1692599680.00000000,379887744.00000000
06/04/2015 02:59:59,3655,1414449664.00000000,316105088.00000000
06/04/2015 03:59:08,3549,1098224256.00000000,295872640.00000000
06/04/2015 04:59:19,3611,1156988928.00000000,298214784.00000000
06/04/2015 05:59:14,3595,1040033856.00000000,294180416.00000000
06/04/2015 06:59:13,3599,4327575040.00000000,352343040.00000000
06/04/2015 07:59:20,3607,4253093376.00000000,432033792.00000000
06/04/2015 08:59:18,3598,13702556672.00000000,1360468992.00000000
06/04/2015 09:59:08,3590,54333104128.00000000,4658528256.00000000
06/04/2015 10:59:09,3601,62590615552.00000000,6768361472.00000000
06/04/2015 11:59:59,3650,85321752576.00000000,16997908480.00000000
06/04/2015 12:59:04,3545,89494380544.00000000,6962110464.00000000
06/04/2015 13:59:11,3607,102278742016.00000000,20684447744.00000000
06/04/2015 14:59:44,3633,100724629504.00000000,21173239808.00000000
06/04/2015 15:59:50,3606,109556899840.00000000,35018104832.00000000
06/04/2015 16:58:55,3545,149428928512.00000000,21086420992.00000000
06/04/2015 17:59:46,3651,106394198016.00000000,13983023104.00000000
06/04/2015 18:59:54,3608,60552908800.00000000,9886994432.00000000
06/04/2015 19:58:57,3543,78739562496.00000000,5541961728.00000000
06/04/2015 20:59:50,3653,42177220608.00000000,2484523008.00000000
06/04/2015 21:59:58,3608,23028660224.00000000,1184268288.00000000
06/04/2015 22:59:42,3584,14441278464.00000000,1025289216.00000000
06/04/2015 23:59:49,3607,15757475840.00000000,834419712.00000000
07/04/2015 00:59:45,3596,2483812608.00000000,454430976.00000000
07/04/2015 01:59:50,3605,856647424.00000000,373699840.00000000
07/04/2015 02:59:56,3606,1202183936.00000000,353503360.00000000
07/04/2015 03:59:50,3594,947009536.00000000,319799680.00000000
07/04/2015 04:59:57,3607,975980736.00000000,312789312.00000000
07/04/2015 05:59:06,3549,1059932096.00000000,330998976.00000000
07/04/2015 06:59:54,3648,3098222336.00000000,384279296.00000000
07/04/2015 07:59:01,3547,25903396864.00000000,1162991616.00000000
07/04/2015 08:59:04,3603,36414300160.00000000,1806651392.00000000
07/04/2015 09:59:16,3612,59836694528.00000000,4824670208.00000000
07/04/2015 10:59:04,3588,122932232192.00000000,16192585728.00000000
07/04/2015 11:58:46,3582,81696505856.00000000,7544020992.00000000
07/04/2015 12:59:19,3633,62504087552.00000000,5213593600.00000000
07/04/2015 13:59:23,3604,81718493184.00000000,5875081216.00000000
07/04/2015 14:58:28,3545,109685563392.00000000,7835639808.00000000
07/04/2015 15:59:23,3655,87115931648.00000000,12716244992.00000000
07/04/2015 16:59:33,3610,91670659072.00000000,7577870336.00000000
07/04/2015 17:58:45,3552,77379469312.00000000,5986131968.00000000
07/04/2015 18:59:39,3654,43215532032.00000000,3341062144.00000000
07/04/2015 19:59:45,3606,18225135616.00000000,1381019648.00000000
07/04/2015 20:58:52,3547,19037954048.00000000,1004537856.00000000
07/04/2015 21:59:51,3659,13402885120.00000000,952491008.00000000
07/04/2015 22:58:57,3546,18189400064.00000000,877500416.00000000
07/04/2015 23:59:51,3654,13540853760.00000000,710009856.00000000
08/04/2015 00:59:00,3549,1903507328.00000000,415415680.00000000
08/04/2015 01:59:10,3610,1181040512.00000000,442619136.00000000
08/04/2015 02:59:09,3599,1288293120.00000000,370559616.00000000
08/04/2015 03:59:16,3607,1713022080.00000000,375938816.00000000
08/04/2015 04:59:21,3605,4150327040.00000000,434343168.00000000
08/04/2015 05:59:12,3591,5752970240.00000000,472688128.00000000
08/04/2015 06:59:18,3606,12632641536.00000000,595673088.00000000
08/04/2015 07:59:22,3604,12819996672.00000000,673904640.00000000
08/04/2015 08:59:10,3588,40326115328.00000000,2079731712.00000000
08/04/2015 09:59:08,3598,148442251264.00000000,8096432128.00000000
08/04/2015 10:59:37,3629,96816390144.00000000,6154813440.00000000
08/04/2015 11:59:13,3576,127940141056.00000000,6816006144.00000000
08/04/2015 12:59:58,3645,60171542528.00000000,16222183424.00000000
08/04/2015 13:59:49,3591,91644977152.00000000,6177112064.00000000
08/04/2015 14:58:53,3544,100638416896.00000000,5988114432.00000000
08/04/2015 15:59:45,3652,66644803584.00000000,7884652544.00000000
08/04/2015 16:59:48,3603,77630193664.00000000,10103111680.00000000
08/04/2015 17:58:54,3546,74998243328.00000000,5778030592.00000000
08/04/2015 18:59:49,3655,131222102016.00000000,7711170560.00000000
08/04/2015 19:59:59,3610,65014292480.00000000,4951400448.00000000
08/04/2015 20:59:05,3546,5246390784.00000000,1763103232.00000000
08/04/2015 21:59:07,3602,4024587520.00000000,943236864.00000000
08/04/2015 22:59:12,3605,6585470464.00000000,748005376.00000000
08/04/2015 23:59:05,3593,10610548736.00000000,692211712.00000000
09/04/2015 00:59:22,3617,1396378112.00000000,505367040.00000000
09/04/2015 01:58:27,3545,1188346752.00000000,475397120.00000000
09/04/2015 02:59:21,3654,1272211456.00000000,493235456.00000000
09/04/2015 03:59:25,3604,1232891520.00000000,554582016.00000000
09/04/2015 04:58:31,3546,874832960.00000000,447489472.00000000
09/04/2015 05:59:24,3653,828113216.00000000,440715712.00000000
09/04/2015 06:59:29,3605,2520028160.00000000,465551360.00000000
09/04/2015 07:58:39,3550,7807118848.00000000,636979200.00000000
09/04/2015 08:59:28,3649,23196575744.00000000,1616586752.00000000
09/04/2015 09:58:34,3546,63133564928.00000000,4436336640.00000000
09/04/2015 10:58:38,3604,93757063168.00000000,5942509568.00000000
09/04/2015 11:59:32,3654,90660298752.00000000,9696747520.00000000
09/04/2015 12:59:37,3605,74487119872.00000000,5615648768.00000000
09/04/2015 13:58:39,3542,73581428736.00000000,8009834496.00000000
09/04/2015 14:59:31,3652,57300049920.00000000,7730475008.00000000
09/04/2015 15:59:32,3601,91947810816.00000000,12240781312.00000000
09/04/2015 16:59:02,3570,86248800256.00000000,7843905536.00000000
09/04/2015 17:59:05,3603,91850817536.00000000,10095894528.00000000
09/04/2015 18:59:12,3607,66645286912.00000000,22909435904.00000000
09/04/2015 19:59:34,3622,48631406592.00000000,7896473600.00000000
09/04/2015 20:59:42,3608,18804881408.00000000,1239259136.00000000
09/04/2015 21:59:17,3575,5823345664.00000000,834266624.00000000
09/04/2015 22:59:20,3603,23342229504.00000000,1071783936.00000000
09/04/2015 23:58:22,3542,38978912256.00000000,1297821696.00000000
10/04/2015 00:59:11,3649,12196877312.00000000,675585024.00000000
10/04/2015 01:59:14,3603,3294628864.00000000,501019136.00000000
10/04/2015 02:58:15,3541,3839645184.00000000,551390720.00000000
10/04/2015 03:59:04,3649,3249683200.00000000,383488768.00000000
10/04/2015 04:59:08,3604,1731710976.00000000,308039296.00000000
10/04/2015 05:58:12,3544,3039474176.00000000,330832128.00000000
10/04/2015 06:59:07,3655,7133464064.00000000,448197632.00000000
10/04/2015 07:59:16,3609,14163152896.00000000,643118080.00000000
10/04/2015 08:59:35,3619,25576765440.00000000,5109807104.00000000
10/04/2015 09:59:30,3595,90930798592.00000000,26991091712.00000000
10/04/2015 10:59:34,3604,122263969792.00000000,11969429504.00000000
10/04/2015 11:59:34,3600,90184556544.00000000,7610277888.00000000
10/04/2015 12:59:52,3618,82738249728.00000000,7786102784.00000000
10/04/2015 13:59:35,3583,60554285056.00000000,8941850624.00000000
10/04/2015 14:59:10,3575,115794640896.00000000,11604647936.00000000
10/04/2015 15:58:24,3554,66089287680.00000000,7233093632.00000000
10/04/2015 16:59:34,3670,90257539072.00000000,7368425472.00000000
10/04/2015 17:59:40,3606,59136876544.00000000,4690419712.00000000
10/04/2015 18:59:33,3593,36199104512.00000000,3097853952.00000000
10/04/2015 19:59:39,3606,16389144576.00000000,1871931392.00000000
10/04/2015 20:59:39,3600,10337687552.00000000,780064768.00000000
10/04/2015 21:59:11,3572,6580970496.00000000,690043904.00000000
10/04/2015 22:59:20,3609,11413566464.00000000,632848384.00000000
10/04/2015 23:59:13,3593,26077390848.00000000,788764672.00000000
11/04/2015 00:59:18,3605,18709071872.00000000,619999232.00000000
11/04/2015 01:59:23,3605,947757184.00000000,261697664.00000000
11/04/2015 02:59:19,3596,1396395008.00000000,267938944.00000000
11/04/2015 03:59:22,3603,1876788352.00000000,307740288.00000000
11/04/2015 04:59:29,3607,1231357696.00000000,264985216.00000000
11/04/2015 05:59:54,3625,1058080576.00000000,1126452736.00000000
11/04/2015 06:59:57,3603,2040889728.00000000,2190983680.00000000
11/04/2015 07:59:09,3552,2128680576.00000000,2224498176.00000000
11/04/2015 08:59:02,3593,26573754368.00000000,2772258816.00000000
11/04/2015 09:59:09,3607,5746290688.00000000,2649365504.00000000
11/04/2015 10:59:15,3606,9832044544.00000000,3381387264.00000000
11/04/2015 11:59:07,3592,20966641664.00000000,3016869888.00000000
11/04/2015 12:59:16,3609,14278717440.00000000,2933936128.00000000
11/04/2015 13:59:18,3602,14036183040.00000000,2938024960.00000000
11/04/2015 14:59:10,3592,18287878144.00000000,2945439744.00000000
11/04/2015 15:59:19,3609,21339947008.00000000,3107995648.00000000
11/04/2015 16:59:21,3602,15791811584.00000000,3056323584.00000000
11/04/2015 17:59:18,3597,10514379776.00000000,3060687872.00000000
11/04/2015 18:59:21,3603,9576155136.00000000,2874326016.00000000
11/04/2015 19:59:30,3609,14323698688.00000000,3283586048.00000000
11/04/2015 20:59:26,3596,13179615232.00000000,2706799616.00000000
11/04/2015 21:59:31,3605,12361457664.00000000,2599021568.00000000
11/04/2015 22:59:41,3610,15638495232.00000000,2731579392.00000000
11/04/2015 23:59:56,3615,16016322560.00000000,2783412224.00000000
12/04/2015 00:59:31,3575,2750924032.00000000,2540371200.00000000
12/04/2015 01:58:34,3543,1637937664.00000000,2448312064.00000000
12/04/2015 02:59:35,3661,2365536256.00000000,2624320512.00000000
12/04/2015 03:59:45,3610,1971717120.00000000,2650827264.00000000
12/04/2015 04:58:50,3545,1847777024.00000000,2379511040.00000000
12/04/2015 05:59:44,3654,2183251456.00000000,2271346688.00000000
12/04/2015 06:59:53,3609,1647471616.00000000,2348800512.00000000
12/04/2015 07:59:02,3549,4851293696.00000000,2469744128.00000000
12/04/2015 08:59:57,3655,7580521472.00000000,2356889600.00000000
12/04/2015 09:59:06,3549,6646928384.00000000,376141824.00000000
12/04/2015 10:59:09,3603,6284460032.00000000,441154560.00000000
12/04/2015 11:59:07,3598,10569138176.00000000,494941184.00000000
12/04/2015 12:59:16,3609,1519836928.00000000,374717824.00000000
12/04/2015 13:59:29,3613,4449610240.00000000,356711424.00000000
12/04/2015 14:59:24,3595,4421974528.00000000,417407488.00000000
12/04/2015 15:59:31,3607,4322575360.00000000,357255680.00000000
12/04/2015 16:59:36,3605,1484102784.00000000,351425152.00000000
12/04/2015 17:59:37,3601,5261061632.00000000,414027776.00000000
12/04/2015 18:59:42,3605,7307993088.00000000,488820736.00000000
12/04/2015 19:59:53,3611,31115452416.00000000,903456768.00000000
12/04/2015 20:59:57,3604,26535811072.00000000,833470464.00000000
12/04/2015 21:59:03,3546,2515431168.00000000,332081664.00000000
12/04/2015 22:59:10,3607,2209081856.00000000,305467904.00000000
12/04/2015 23:58:19,3549,4098697984.00000000,647817984.00000000
13/04/2015 00:59:31,3672,2664625152.00000000,493218304.00000000
13/04/2015 01:59:43,3612,3036828416.00000000,329630976.00000000
13/04/2015 02:59:43,3600,720327040.00000000,229944448.00000000
13/04/2015 03:59:52,3609,562022144.00000000,230747008.00000000
13/04/2015 04:59:58,3606,531845664.00000000,243475296.00000000
13/04/2015 05:59:55,3597,468267584.00000000,222427264.00000000
13/04/2015 06:59:04,3549,4586321408.00000000,286403584.00000000
13/04/2015 07:59:09,3605,6432007680.00000000,446313472.00000000
13/04/2015 08:58:13,3544,42558492672.00000000,2080473088.00000000
13/04/2015 09:59:15,3662,39626264576.00000000,5109063680.00000000
13/04/2015 10:59:29,3614,93794484224.00000000,7565705216.00000000
13/04/2015 11:59:30,3601,78333919232.00000000,11603091456.00000000
13/04/2015 12:59:17,3587,73976242176.00000000,7769112576.00000000
13/04/2015 13:59:32,3615,88988753920.00000000,6140616704.00000000
13/04/2015 14:59:25,3593,101491695616.00000000,8651767808.00000000
13/04/2015 15:59:33,3608,120461148160.00000000,8615993344.00000000
13/04/2015 16:59:33,3600,59215929344.00000000,5451993088.00000000
13/04/2015 17:59:36,3603,105097822208.00000000,8642207744.00000000
13/04/2015 18:59:38,3602,57194348544.00000000,5079941120.00000000
13/04/2015 19:59:34,3596,38388518912.00000000,4145168384.00000000
13/04/2015 20:59:42,3608,22031431680.00000000,4149886976.00000000
13/04/2015 21:59:36,3594,12933611520.00000000,1544799232.00000000
13/04/2015 22:59:26,3590,10179931136.00000000,674960384.00000000
13/04/2015 23:59:19,3593,1650529536.00000000,454570880.00000000
14/04/2015 00:59:26,3607,1878387840.00000000,460507264.00000000
14/04/2015 01:59:30,3604,12046209024.00000000,621024256.00000000
14/04/2015 02:59:25,3595,738993472.00000000,330311104.00000000
14/04/2015 03:59:32,3607,821455232.00000000,350687232.00000000
14/04/2015 04:59:38,3606,1587700224.00000000,359337472.00000000
14/04/2015 05:59:31,3593,1035504896.00000000,342372352.00000000
14/04/2015 06:59:35,3604,5983334912.00000000,527455744.00000000
14/04/2015 07:59:41,3606,11690691584.00000000,1040226304.00000000
14/04/2015 08:59:34,3593,34706223104.00000000,2381987840.00000000
14/04/2015 09:59:36,3602,57584922624.00000000,4668997632.00000000
14/04/2015 10:59:31,3595,112475299840.00000000,8277622784.00000000
14/04/2015 11:59:30,3599,104780718080.00000000,7481901056.00000000
14/04/2015 12:59:36,3606,96587030528.00000000,7681130496.00000000
14/04/2015 13:58:37,3541,116406648832.00000000,8044216320.00000000
14/04/2015 14:59:26,3649,97582358528.00000000,6980419584.00000000
14/04/2015 15:59:39,3613,101537890304.00000000,6465486848.00000000
14/04/2015 16:59:20,3581,74302193664.00000000,5544951808.00000000
14/04/2015 17:58:27,3547,82447843328.00000000,4865269760.00000000
14/04/2015 18:59:20,3653,115517644800.00000000,5599199232.00000000
14/04/2015 19:59:29,3609,73589547008.00000000,3556130816.00000000
14/04/2015 20:58:33,3544,20129492992.00000000,2454372352.00000000
14/04/2015 21:59:25,3652,19846277120.00000000,1032830976.00000000
14/04/2015 22:59:36,3611,21302099968.00000000,1178648576.00000000
14/04/2015 23:58:42,3546,35667550208.00000000,1096830976.00000000
15/04/2015 00:59:38,3656,22432856064.00000000,974510080.00000000
15/04/2015 01:59:46,3608,7303214080.00000000,490204672.00000000
15/04/2015 02:58:52,3546,4820855808.00000000,416312832.00000000
15/04/2015 03:59:46,3654,3308002560.00000000,355171072.00000000
15/04/2015 04:59:54,3608,4563317248.00000000,351479808.00000000
15/04/2015 05:58:59,3545,3983074816.00000000,301514496.00000000
15/04/2015 06:59:52,3653,6301954048.00000000,371908608.00000000
15/04/2015 07:58:59,3547,24395489280.00000000,801951744.00000000
15/04/2015 08:59:04,3605,32432863232.00000000,1566654464.00000000
15/04/2015 09:59:53,3649,96551526400.00000000,5200846848.00000000
15/04/2015 10:59:55,3602,94729297920.00000000,6528425984.00000000
15/04/2015 11:58:51,3536,95342682112.00000000,9168027648.00000000
15/04/2015 12:59:31,3640,145818599424.00000000,15567126528.00000000
15/04/2015 13:59:15,3584,133746958336.00000000,7630381056.00000000
15/04/2015 14:59:50,3635,71082033152.00000000,7489159168.00000000
15/04/2015 15:59:21,3571,92180561920.00000000,6524289024.00000000
15/04/2015 16:59:42,3621,119492321280.00000000,10598342656.00000000
15/04/2015 17:59:29,3587,81472610304.00000000,6388826112.00000000
15/04/2015 18:59:45,3616,42716123136.00000000,4121071616.00000000
15/04/2015 19:59:26,3581,26922250240.00000000,1647386624.00000000
15/04/2015 20:59:29,3603,14285782016.00000000,863410176.00000000
15/04/2015 21:59:39,3610,17013413888.00000000,879351808.00000000
15/04/2015 22:59:36,3597,12179759104.00000000,935045120.00000000
15/04/2015 23:59:46,3610,18292791296.00000000,745078784.00000000
16/04/2015 00:59:54,3608,1336009472.00000000,384651776.00000000
16/04/2015 01:59:52,3598,1972667648.00000000,361857536.00000000
16/04/2015 02:59:02,3550,1193131136.00000000,280460928.00000000
16/04/2015 03:59:11,3609,682049472.00000000,277240000.00000000
16/04/2015 04:58:17,3546,465926560.00000000,239925472.00000000
16/04/2015 05:59:12,3655,7904086016.00000000,398908928.00000000
16/04/2015 06:59:16,3604,7655841280.00000000,365705216.00000000
16/04/2015 07:59:24,3608,2442142208.00000000,320181760.00000000
16/04/2015 08:59:15,3591,27927623680.00000000,1719537664.00000000
16/04/2015 09:59:43,3628,68775428096.00000000,4697227264.00000000
16/04/2015 10:59:06,3563,104667717632.00000000,6912483328.00000000
16/04/2015 11:59:57,3651,115592126464.00000000,8337629184.00000000
16/04/2015 12:59:06,3549,159511199744.00000000,7689601024.00000000
16/04/2015 13:59:58,3652,161871527936.00000000,8187117568.00000000
16/04/2015 14:59:37,3579,177599037440.00000000,8714780672.00000000
16/04/2015 15:59:03,3566,149173960704.00000000,8407957504.00000000
16/04/2015 16:59:34,3631,106103029760.00000000,6423216128.00000000
16/04/2015 17:59:19,3585,109560061952.00000000,6053732352.00000000
16/04/2015 18:59:06,3587,123903901696.00000000,6041378816.00000000
16/04/2015 19:59:40,3634,23976491008.00000000,2322073600.00000000
16/04/2015 20:59:19,3579,10665445376.00000000,4736535552.00000000
16/04/2015 21:59:35,3616,6920216064.00000000,1468856320.00000000
16/04/2015 22:59:45,3610,6863008256.00000000,580738560.00000000
16/04/2015 23:58:50,3545,2570233344.00000000,437276672.00000000
17/04/2015 00:59:44,3654,5111280128.00000000,515813888.00000000
17/04/2015 01:59:46,3602,2038116992.00000000,429939840.00000000
17/04/2015 02:58:47,3541,2167050240.00000000,393577728.00000000
17/04/2015 03:59:40,3653,2248070656.00000000,380792064.00000000
17/04/2015 04:59:51,3611,2509041664.00000000,384778240.00000000
17/04/2015 05:58:29,3518,1708837504.00000000,352549248.00000000
17/04/2015 06:59:45,3676,2222756096.00000000,383583232.00000000
17/04/2015 07:58:39,3534,6209905152.00000000,538184704.00000000
17/04/2015 08:59:03,3624,33070364672.00000000,5973379072.00000000
17/04/2015 09:59:23,3620,77950058496.00000000,22297772032.00000000
17/04/2015 10:59:46,3623,99776315392.00000000,10277158912.00000000
17/04/2015 11:58:40,3534,81915912192.00000000,7432151040.00000000
17/04/2015 12:59:06,3626,99386769408.00000000,7745159168.00000000
17/04/2015 13:59:46,3640,160486440960.00000000,8703295488.00000000
17/04/2015 14:59:47,3601,106440015872.00000000,7552925696.00000000
17/04/2015 15:59:29,3582,95619006464.00000000,7811989504.00000000
17/04/2015 16:59:59,3630,89121349632.00000000,8089255936.00000000
17/04/2015 17:59:15,3556,52443721728.00000000,5304471552.00000000
17/04/2015 18:59:33,3618,26484963328.00000000,7260540928.00000000
17/04/2015 19:59:15,3582,12474038272.00000000,2424938496.00000000
17/04/2015 20:59:33,3618,14261416960.00000000,8426849280.00000000
17/04/2015 21:59:57,3624,4454375936.00000000,1338934272.00000000
17/04/2015 22:59:05,3548,3951631616.00000000,2376832768.00000000
17/04/2015 23:59:11,3606,4660193792.00000000,1388913152.00000000
18/04/2015 00:59:41,3630,1758145536.00000000,1622552320.00000000
18/04/2015 01:59:40,3599,1431743104.00000000,1197365120.00000000
18/04/2015 02:58:43,3543,1477196288.00000000,1565243648.00000000
18/04/2015 03:59:34,3651,1668008064.00000000,599726720.00000000
18/04/2015 04:59:33,3599,1804948096.00000000,372891776.00000000
18/04/2015 05:59:17,3584,1214245632.00000000,712848384.00000000
