city;moscow_time;visits;uniqs;new_uniqs
Москва;19.01.2015 2:12;4;4;3
Москва;19.01.2015 2:13;7;7;4
Москва;19.01.2015 2:14;13;13;7
Москва;19.01.2015 2:15;10;10;4
Москва;19.01.2015 2:16;6;6;3
Москва;19.01.2015 2:18;6;6;3
Москва;19.01.2015 2:19;9;9;4
Москва;19.01.2015 2:20;7;7;3
Москва;19.01.2015 2:21;6;6;3
Москва;19.01.2015 2:22;9;9;6
Москва;19.01.2015 2:23;7;7;3
Москва;19.01.2015 2:24;10;10;6
Москва;19.01.2015 2:25;6;6;2
Москва;19.01.2015 2:26;4;4;3
Москва;19.01.2015 2:27;3;3;2
Москва;19.01.2015 2:28;7;7;4
Москва;19.01.2015 2:29;9;9;5
Москва;19.01.2015 2:30;6;6;4
Москва;19.01.2015 2:31;12;12;6
Москва;19.01.2015 2:32;6;6;4
Москва;19.01.2015 2:33;7;7;4
Москва;19.01.2015 2:34;4;4;2
Москва;19.01.2015 2:35;3;3;2
Москва;19.01.2015 2:36;9;9;4
Москва;19.01.2015 2:37;7;7;4
Москва;19.01.2015 2:38;6;6;2
Москва;19.01.2015 2:39;3;3;2
Москва;19.01.2015 2:40;7;7;4
Москва;19.01.2015 2:41;6;6;4
Москва;19.01.2015 2:42;6;6;3
Москва;19.01.2015 2:43;4;4;3
Москва;19.01.2015 2:44;3;3;2
Москва;19.01.2015 2:46;4;4;2
Москва;19.01.2015 2:47;9;9;5
Москва;19.01.2015 2:48;4;4;2
Москва;19.01.2015 2:49;4;4;2
Москва;19.01.2015 2:50;3;3;1
Москва;19.01.2015 2:51;6;6;3
Москва;19.01.2015 2:52;6;6;3
Москва;19.01.2015 2:53;10;10;4
Москва;19.01.2015 2:54;7;7;4
Москва;19.01.2015 2:55;3;3;1
Москва;19.01.2015 2:56;4;4;2
Москва;19.01.2015 2:57;3;3;2
Москва;19.01.2015 2:58;3;3;2
Москва;19.01.2015 2:59;7;7;5
Москва;19.01.2015 3:00;6;6;3
Москва;19.01.2015 3:01;4;4;2
Москва;19.01.2015 3:03;6;6;1
Москва;19.01.2015 3:04;6;6;2
Москва;19.01.2015 3:05;3;3;2
Москва;19.01.2015 3:06;4;4;1
Москва;19.01.2015 3:07;3;3;1
Москва;19.01.2015 3:08;4;4;2
Москва;19.01.2015 3:09;7;7;4
Москва;19.01.2015 3:10;9;9;4
Москва;19.01.2015 3:11;3;3;1
Москва;19.01.2015 3:12;4;4;2
Москва;19.01.2015 3:13;4;4;2
Москва;19.01.2015 3:14;6;6;3
Москва;19.01.2015 3:15;7;7;5
Москва;19.01.2015 3:16;9;9;5
Москва;19.01.2015 3:17;9;9;6
Москва;19.01.2015 3:18;4;4;3
Москва;19.01.2015 3:19;9;9;4
Москва;19.01.2015 3:21;3;3;1
Москва;19.01.2015 3:22;4;4;3
Москва;19.01.2015 3:23;9;9;4
Москва;19.01.2015 3:24;3;3;2
Москва;19.01.2015 3:25;6;6;4
Москва;19.01.2015 3:26;9;9;5
Москва;19.01.2015 3:27;6;6;4
Москва;19.01.2015 3:28;4;4;3
Москва;19.01.2015 3:29;4;4;3
Москва;19.01.2015 3:30;13;13;8
Москва;19.01.2015 3:31;6;6;3
Москва;19.01.2015 3:32;3;3;2
Москва;19.01.2015 3:33;7;7;4
Москва;19.01.2015 3:34;3;3;2
Москва;19.01.2015 3:36;7;7;5
Москва;19.01.2015 3:37;9;9;4
Москва;19.01.2015 3:38;7;7;3
Москва;19.01.2015 3:39;3;3;2
Москва;19.01.2015 3:40;3;3;1
Москва;19.01.2015 3:41;6;6;3
Москва;19.01.2015 3:42;4;4;3
Москва;19.01.2015 3:43;4;4;3
Москва;19.01.2015 3:44;7;7;4
Москва;19.01.2015 3:45;6;6;3
Москва;19.01.2015 3:46;4;4;2
Москва;19.01.2015 3:47;3;3;2
Москва;19.01.2015 3:48;6;6;3
Москва;19.01.2015 3:49;4;4;3
Москва;19.01.2015 3:50;9;9;4
Москва;19.01.2015 3:51;7;7;4
Москва;19.01.2015 3:52;10;10;7
Москва;19.01.2015 3:53;7;7;3
Москва;19.01.2015 3:55;6;6;2
Москва;19.01.2015 3:56;9;9;5
Москва;19.01.2015 3:57;15;15;7
Москва;19.01.2015 3:58;6;6;3
Москва;19.01.2015 3:59;7;7;4
Москва;19.01.2015 4:00;4;4;2
Москва;19.01.2015 4:01;7;7;4
Москва;19.01.2015 4:03;4;4;3
Москва;19.01.2015 4:04;10;10;5
Москва;19.01.2015 4:05;3;3;2
Москва;19.01.2015 4:06;4;4;3
Москва;19.01.2015 4:07;9;9;5
Москва;19.01.2015 4:08;4;4;2
Москва;19.01.2015 4:10;3;3;1
Москва;19.01.2015 4:12;3;3;1
Москва;19.01.2015 4:14;4;4;1
Москва;19.01.2015 4:15;6;6;2
Москва;19.01.2015 4:17;3;3;1
Москва;19.01.2015 4:18;6;6;2
Москва;19.01.2015 4:20;3;3;1
Москва;19.01.2015 4:21;4;4;3
Москва;19.01.2015 4:22;3;3;1
Москва;19.01.2015 4:23;6;6;2
Москва;19.01.2015 4:24;6;6;3
Москва;19.01.2015 4:27;3;3;2
Москва;19.01.2015 4:28;3;3;2
Москва;19.01.2015 4:29;4;4;3
Москва;19.01.2015 4:30;4;4;3
Москва;19.01.2015 4:31;3;3;1
Москва;19.01.2015 4:32;3;3;2
Москва;19.01.2015 4:34;3;3;2
Москва;19.01.2015 4:35;3;3;2
Москва;19.01.2015 4:37;4;4;2
Москва;19.01.2015 4:39;6;6;1
Москва;19.01.2015 4:40;3;3;2
Москва;19.01.2015 4:42;3;3;2
Москва;19.01.2015 4:43;6;6;3
Москва;19.01.2015 4:44;6;6;2
Москва;19.01.2015 4:45;9;9;3
Москва;19.01.2015 4:46;7;7;3
Москва;19.01.2015 4:47;4;4;2
Москва;19.01.2015 4:48;4;4;2
Москва;19.01.2015 4:49;7;7;4
Москва;19.01.2015 4:50;10;10;4
Москва;19.01.2015 4:51;6;6;1
Москва;19.01.2015 4:52;4;4;3
Москва;19.01.2015 4:53;10;10;4
Москва;19.01.2015 4:54;4;4;1
Москва;19.01.2015 4:55;4;4;3
Москва;19.01.2015 4:57;6;6;4
Москва;19.01.2015 4:58;7;7;5
Москва;19.01.2015 4:59;3;3;2
Москва;19.01.2015 5:00;6;6;3
Москва;19.01.2015 5:01;3;3;1
Москва;19.01.2015 5:02;7;7;4
Москва;19.01.2015 5:03;4;4;3
Москва;19.01.2015 5:04;3;3;1
Москва;19.01.2015 5:05;9;9;4
Москва;19.01.2015 5:06;6;6;2
Москва;19.01.2015 5:07;6;6;4
Москва;19.01.2015 5:08;7;7;3
Москва;19.01.2015 5:09;9;9;4
Москва;19.01.2015 5:10;4;4;3
Москва;19.01.2015 5:11;7;7;3
Москва;19.01.2015 5:12;9;9;3
Москва;19.01.2015 5:13;6;6;3
Москва;19.01.2015 5:14;3;3;2
Москва;19.01.2015 5:15;3;3;2
Москва;19.01.2015 5:16;3;3;2
Москва;19.01.2015 5:17;7;7;4
Москва;19.01.2015 5:18;3;3;2
Москва;19.01.2015 5:19;6;6;3
Москва;19.01.2015 5:20;9;9;6
Москва;19.01.2015 5:21;7;7;4
Москва;19.01.2015 5:22;9;9;6
Москва;19.01.2015 5:24;7;7;3
Москва;19.01.2015 5:26;10;10;4
Москва;19.01.2015 5:27;6;6;2
Москва;19.01.2015 5:28;6;6;3
Москва;19.01.2015 5:29;4;4;2
Москва;19.01.2015 5:30;4;4;2
Москва;19.01.2015 5:31;10;10;4
Москва;19.01.2015 5:32;6;6;2
Москва;19.01.2015 5:33;6;6;2
Москва;19.01.2015 5:34;7;7;4
Москва;19.01.2015 5:35;7;7;2
Москва;19.01.2015 5:37;3;3;1
Москва;19.01.2015 5:38;4;4;2
Москва;19.01.2015 5:39;3;3;1
Москва;19.01.2015 5:40;7;7;3
Москва;19.01.2015 5:41;7;7;1
Москва;19.01.2015 5:42;6;6;2
Москва;19.01.2015 5:43;9;9;5
Москва;19.01.2015 5:44;4;4;3
Москва;19.01.2015 5:45;9;9;5
Москва;19.01.2015 5:46;7;7;4
Москва;19.01.2015 5:47;9;9;5
Москва;19.01.2015 5:49;3;3;1
Москва;19.01.2015 5:50;9;9;5
Москва;19.01.2015 5:51;13;13;8
Москва;19.01.2015 5:52;4;4;2
Москва;19.01.2015 5:53;6;6;3
Москва;19.01.2015 5:54;4;4;3
Москва;19.01.2015 5:55;12;12;4
Москва;19.01.2015 5:56;7;7;4
Москва;19.01.2015 5:57;12;12;3
Москва;19.01.2015 5:58;7;7;4
Москва;19.01.2015 5:59;3;3;1
Москва;19.01.2015 6:00;3;3;1
Москва;19.01.2015 6:01;6;6;3
Москва;19.01.2015 6:02;9;9;4
Москва;19.01.2015 6:03;12;12;6
Москва;19.01.2015 6:04;7;7;3
Москва;19.01.2015 6:05;9;9;2
Москва;19.01.2015 6:06;6;6;3
Москва;19.01.2015 6:07;7;7;3
Москва;19.01.2015 6:08;4;4;2
Москва;19.01.2015 6:09;7;7;2
Москва;19.01.2015 6:10;12;12;5
Москва;19.01.2015 6:11;4;4;2
Москва;19.01.2015 6:12;7;7;2
Москва;19.01.2015 6:13;6;6;2
Москва;19.01.2015 6:14;4;4;2
Москва;19.01.2015 6:15;3;3;1
Москва;19.01.2015 6:16;10;10;7
Москва;19.01.2015 6:17;9;9;5
Москва;19.01.2015 6:18;3;3;2
Москва;19.01.2015 6:19;7;7;4
Москва;19.01.2015 6:20;7;7;3
Москва;19.01.2015 6:21;9;9;5
Москва;19.01.2015 6:22;6;6;1
Москва;19.01.2015 6:23;9;9;4
Москва;19.01.2015 6:24;4;4;3
Москва;19.01.2015 6:25;4;4;2
Москва;19.01.2015 6:26;9;9;5
Москва;19.01.2015 6:27;6;6;3
Москва;19.01.2015 6:28;10;10;5
Москва;19.01.2015 6:29;7;7;3
Москва;19.01.2015 6:30;9;9;4
Москва;19.01.2015 6:31;12;12;4
Москва;19.01.2015 6:32;9;9;2
Москва;19.01.2015 6:33;7;7;4
Москва;19.01.2015 6:34;3;3;1
Москва;19.01.2015 6:35;7;7;2
Москва;19.01.2015 6:36;7;7;3
Москва;19.01.2015 6:37;9;9;3
Москва;19.01.2015 6:38;12;12;3
Москва;19.01.2015 6:39;7;7;3
Москва;19.01.2015 6:40;4;4;2
Москва;19.01.2015 6:41;7;7;3
Москва;19.01.2015 6:42;6;6;3
Москва;19.01.2015 6:43;3;3;1
Москва;19.01.2015 6:44;6;6;2
Москва;19.01.2015 6:45;12;12;4
Москва;19.01.2015 6:46;13;13;6
Москва;19.01.2015 6:47;6;6;2
Москва;19.01.2015 6:48;4;4;1
Москва;19.01.2015 6:49;13;13;4
Москва;19.01.2015 6:50;6;6;4
Москва;19.01.2015 6:51;7;7;2
Москва;19.01.2015 6:52;6;6;2
Москва;19.01.2015 6:53;18;18;6
Москва;19.01.2015 6:54;13;13;5
Москва;19.01.2015 6:55;9;9;3
Москва;19.01.2015 6:56;20;20;6
Москва;19.01.2015 6:57;12;12;6
Москва;19.01.2015 6:58;7;7;2
Москва;19.01.2015 6:59;6;6;3
Москва;19.01.2015 7:00;9;9;5
Москва;19.01.2015 7:01;20;20;8
Москва;19.01.2015 7:02;10;10;5
Москва;19.01.2015 7:03;17;17;8
Москва;19.01.2015 7:04;12;12;6
Москва;19.01.2015 7:05;17;17;4
Москва;19.01.2015 7:06;13;13;6
Москва;19.01.2015 7:07;9;9;4
Москва;19.01.2015 7:08;12;12;5
Москва;19.01.2015 7:09;3;3;1
Москва;19.01.2015 7:10;6;6;3
Москва;19.01.2015 7:11;12;12;5
Москва;19.01.2015 7:12;4;4;2
Москва;19.01.2015 7:13;10;10;2
Москва;19.01.2015 7:14;15;15;6
Москва;19.01.2015 7:15;7;7;3
Москва;19.01.2015 7:16;13;13;5
Москва;19.01.2015 7:17;10;10;1
Москва;19.01.2015 7:18;12;12;3
Москва;19.01.2015 7:19;15;15;4
Москва;19.01.2015 7:20;12;12;2
Москва;19.01.2015 7:21;18;18;6
Москва;19.01.2015 7:22;17;17;5
Москва;19.01.2015 7:23;18;18;8
Москва;19.01.2015 7:24;9;9;4
Москва;19.01.2015 7:25;12;12;5
Москва;19.01.2015 7:26;13;13;7
Москва;19.01.2015 7:27;10;10;4
Москва;19.01.2015 7:28;20;20;5
Москва;19.01.2015 7:29;12;12;4
Москва;19.01.2015 7:30;20;20;8
Москва;19.01.2015 7:31;13;13;6
Москва;19.01.2015 7:32;24;24;7
Москва;19.01.2015 7:33;15;15;5
Москва;19.01.2015 7:34;17;17;7
Москва;19.01.2015 7:35;15;15;6
Москва;19.01.2015 7:36;12;12;7
Москва;19.01.2015 7:37;17;17;8
Москва;19.01.2015 7:38;15;15;5
Москва;19.01.2015 7:39;12;12;4
Москва;19.01.2015 7:40;17;17;4
Москва;19.01.2015 7:41;12;12;6
Москва;19.01.2015 7:42;17;17;4
Москва;19.01.2015 7:43;12;12;4
Москва;19.01.2015 7:44;15;15;4
Москва;19.01.2015 7:45;21;21;9
Москва;19.01.2015 7:46;17;17;6
Москва;19.01.2015 7:47;15;15;4
Москва;19.01.2015 7:48;7;7;3
Москва;19.01.2015 7:49;13;13;5
Москва;19.01.2015 7:50;18;18;5
Москва;19.01.2015 7:51;24;24;11
Москва;19.01.2015 7:52;15;15;5
Москва;19.01.2015 7:53;21;21;5
Москва;19.01.2015 7:54;12;12;6
Москва;19.01.2015 7:55;17;17;5
Москва;19.01.2015 7:56;17;17;6
Москва;19.01.2015 7:57;13;13;2
Москва;19.01.2015 7:58;12;12;6
Москва;19.01.2015 7:59;9;9;4
Москва;19.01.2015 8:00;24;24;8
Москва;19.01.2015 8:01;12;12;6
Москва;19.01.2015 8:02;17;17;5
Москва;19.01.2015 8:03;15;15;4
Москва;19.01.2015 8:04;10;10;2
Москва;19.01.2015 8:05;20;20;8
Москва;19.01.2015 8:06;13;13;4
Москва;19.01.2015 8:07;7;7;4
Москва;19.01.2015 8:08;12;12;3
Москва;19.01.2015 8:09;10;10;3
Москва;19.01.2015 8:10;17;17;6
Москва;19.01.2015 8:11;10;10;4
Москва;19.01.2015 8:12;15;15;6
Москва;19.01.2015 8:13;13;13;6
Москва;19.01.2015 8:14;17;17;7
Москва;19.01.2015 8:15;29;29;7
Москва;19.01.2015 8:16;18;18;7
Москва;19.01.2015 8:17;10;10;4
Москва;19.01.2015 8:18;10;10;3
Москва;19.01.2015 8:19;18;18;4
Москва;19.01.2015 8:20;17;17;4
Москва;19.01.2015 8:21;20;20;3
Москва;19.01.2015 8:22;23;23;9
Москва;19.01.2015 8:23;10;10;3
Москва;19.01.2015 8:24;13;13;6
Москва;19.01.2015 8:25;21;21;5
Москва;19.01.2015 8:26;15;15;5
Москва;19.01.2015 8:27;15;15;6
Москва;19.01.2015 8:28;18;18;6
Москва;19.01.2015 8:29;12;12;6
Москва;19.01.2015 8:30;24;24;7
Москва;19.01.2015 8:31;21;21;9
Москва;19.01.2015 8:32;18;18;5
Москва;19.01.2015 8:33;12;12;6
Москва;19.01.2015 8:34;17;17;5
Москва;19.01.2015 8:35;17;17;9
Москва;19.01.2015 8:36;18;18;7
Москва;19.01.2015 8:37;13;13;6
Москва;19.01.2015 8:38;24;24;7
Москва;19.01.2015 8:39;20;20;5
Москва;19.01.2015 8:40;18;18;11
Москва;19.01.2015 8:41;29;29;12
Москва;19.01.2015 8:42;27;27;7
Москва;19.01.2015 8:43;27;27;8
Москва;19.01.2015 8:44;24;24;9
Москва;19.01.2015 8:45;9;9;1
Москва;19.01.2015 8:46;23;23;11
Москва;19.01.2015 8:47;20;20;2
Москва;19.01.2015 8:48;13;13;4
Москва;19.01.2015 8:49;21;21;6
Москва;19.01.2015 8:50;23;23;3
Москва;19.01.2015 8:51;15;15;7
Москва;19.01.2015 8:52;13;13;4
Москва;19.01.2015 8:53;15;15;4
Москва;19.01.2015 8:54;18;18;5
Москва;19.01.2015 8:55;13;13;5
Москва;19.01.2015 8:56;20;20;8
Москва;19.01.2015 8:57;15;15;6
Москва;19.01.2015 8:58;15;15;5
Москва;19.01.2015 8:59;21;21;8
Москва;19.01.2015 9:00;15;15;6
Москва;19.01.2015 9:01;15;15;6
Москва;19.01.2015 9:02;18;18;6
Москва;19.01.2015 9:03;27;27;9
Москва;19.01.2015 9:04;17;17;6
Москва;19.01.2015 9:05;24;24;6
Москва;19.01.2015 9:06;21;21;9
Москва;19.01.2015 9:07;13;13;5
Москва;19.01.2015 9:08;26;26;6
Москва;19.01.2015 9:09;20;20;7
Москва;19.01.2015 9:10;6;6;3
Москва;19.01.2015 9:11;23;23;9
Москва;19.01.2015 9:12;20;20;7
Москва;19.01.2015 9:13;24;24;7
Москва;19.01.2015 9:14;13;13;3
Москва;19.01.2015 9:15;20;20;4
Москва;19.01.2015 9:16;21;21;8
Москва;19.01.2015 9:17;26;26;8
Москва;19.01.2015 9:18;18;18;5
Москва;19.01.2015 9:19;21;21;8
Москва;19.01.2015 9:20;21;21;9
Москва;19.01.2015 9:21;29;29;7
Москва;19.01.2015 9:22;29;29;10
Москва;19.01.2015 9:23;13;13;5
Москва;19.01.2015 9:24;29;29;6
Москва;19.01.2015 9:25;20;20;7
Москва;19.01.2015 9:26;18;18;5
Москва;19.01.2015 9:27;20;20;9
Москва;19.01.2015 9:28;20;20;6
Москва;19.01.2015 9:29;13;13;7
Москва;19.01.2015 9:30;21;21;8
Москва;19.01.2015 9:31;13;13;5
Москва;19.01.2015 9:32;13;13;6
Москва;19.01.2015 9:33;12;12;3
Москва;19.01.2015 9:34;21;21;4
Москва;19.01.2015 9:35;30;30;9
Москва;19.01.2015 9:36;15;15;8
Москва;19.01.2015 9:37;29;29;12
Москва;19.01.2015 9:38;13;13;3
Москва;19.01.2015 9:39;23;23;7
Москва;19.01.2015 9:40;29;29;9
Москва;19.01.2015 9:41;18;18;7
Москва;19.01.2015 9:42;15;15;5
Москва;19.01.2015 9:43;20;20;4
Москва;19.01.2015 9:44;20;20;9
Москва;19.01.2015 9:45;17;17;7
Москва;19.01.2015 9:46;27;27;10
Москва;19.01.2015 9:47;23;23;9
Москва;19.01.2015 9:48;24;24;8
Москва;19.01.2015 9:49;20;20;6
Москва;19.01.2015 9:50;24;24;9
Москва;19.01.2015 9:51;26;26;6
Москва;19.01.2015 9:52;20;20;11
Москва;19.01.2015 9:53;24;24;9
Москва;19.01.2015 9:54;24;24;7
Москва;19.01.2015 9:55;18;18;6
Москва;19.01.2015 9:56;18;18;8
Москва;19.01.2015 9:57;29;29;8
Москва;19.01.2015 9:58;24;24;9
Москва;19.01.2015 9:59;27;27;9
Москва;19.01.2015 10:00;18;18;8
Москва;19.01.2015 10:01;20;20;5
Москва;19.01.2015 10:02;20;20;10
Москва;19.01.2015 10:03;23;23;7
Москва;19.01.2015 10:04;15;15;5
Москва;19.01.2015 10:05;23;23;8
Москва;19.01.2015 10:06;23;23;8
Москва;19.01.2015 10:07;20;20;5
Москва;19.01.2015 10:08;21;21;10
Москва;19.01.2015 10:09;23;23;5
Москва;19.01.2015 10:10;27;27;8
Москва;19.01.2015 10:11;18;18;9
Москва;19.01.2015 10:12;27;27;8
Москва;19.01.2015 10:13;27;27;11
Москва;19.01.2015 10:14;17;17;6
Москва;19.01.2015 10:15;21;21;7
Москва;19.01.2015 10:16;27;27;9
Москва;19.01.2015 10:17;29;29;13
Москва;19.01.2015 10:18;35;35;12
Москва;19.01.2015 10:19;20;20;6
Москва;19.01.2015 10:20;32;32;12
Москва;19.01.2015 10:21;21;21;6
Москва;19.01.2015 10:22;29;29;10
Москва;19.01.2015 10:23;20;20;8
Москва;19.01.2015 10:24;30;30;11
Москва;19.01.2015 10:25;21;21;7
Москва;19.01.2015 10:26;18;18;5
Москва;19.01.2015 10:27;20;20;10
Москва;19.01.2015 10:28;17;17;7
Москва;19.01.2015 10:29;34;34;12
Москва;19.01.2015 10:30;18;18;7
Москва;19.01.2015 10:31;23;23;8
Москва;19.01.2015 10:32;17;17;4
Москва;19.01.2015 10:33;24;24;8
Москва;19.01.2015 10:34;15;15;4
Москва;19.01.2015 10:35;23;23;4
Москва;19.01.2015 10:36;32;32;10
Москва;19.01.2015 10:37;27;27;11
Москва;19.01.2015 10:38;15;15;8
Москва;19.01.2015 10:39;18;18;5
Москва;19.01.2015 10:40;10;10;4
Москва;19.01.2015 10:41;24;24;11
Москва;19.01.2015 10:42;18;18;7
Москва;19.01.2015 10:43;26;26;16
Москва;19.01.2015 10:44;26;26;6
Москва;19.01.2015 10:45;26;26;5
Москва;19.01.2015 10:46;17;17;5
Москва;19.01.2015 10:47;27;27;10
Москва;19.01.2015 10:48;21;21;9
Москва;19.01.2015 10:49;15;15;5
Москва;19.01.2015 10:50;21;21;8
Москва;19.01.2015 10:51;21;21;8
Москва;19.01.2015 10:52;12;12;4
Москва;19.01.2015 10:53;13;13;3
Москва;19.01.2015 10:54;26;26;9
Москва;19.01.2015 10:55;34;34;11
Москва;19.01.2015 10:56;18;18;6
Москва;19.01.2015 10:57;29;29;10
Москва;19.01.2015 10:58;13;13;2
Москва;19.01.2015 10:59;18;18;8
Москва;19.01.2015 11:00;26;26;11
Москва;19.01.2015 11:01;18;18;9
Москва;19.01.2015 11:02;15;15;7
Москва;19.01.2015 11:03;20;20;8
Москва;19.01.2015 11:04;18;18;7
Москва;19.01.2015 11:05;30;30;8
Москва;19.01.2015 11:06;20;20;6
Москва;19.01.2015 11:07;20;20;9
Москва;19.01.2015 11:08;17;17;6
Москва;19.01.2015 11:09;29;29;13
Москва;19.01.2015 11:10;26;26;13
Москва;19.01.2015 11:11;17;17;7
Москва;19.01.2015 11:12;23;23;4
Москва;19.01.2015 11:13;23;23;11
Москва;19.01.2015 11:14;12;12;5
Москва;19.01.2015 11:15;23;23;6
Москва;19.01.2015 11:16;13;13;6
Москва;19.01.2015 11:17;23;23;5
Москва;19.01.2015 11:18;13;13;9
Москва;19.01.2015 11:19;23;23;10
Москва;19.01.2015 11:20;24;24;13
Москва;19.01.2015 11:21;26;26;13
Москва;19.01.2015 11:22;15;15;7
Москва;19.01.2015 11:23;21;21;10
Москва;19.01.2015 11:24;32;32;17
Москва;19.01.2015 11:25;21;21;8
Москва;19.01.2015 11:26;26;26;8
