city;local_date;local_time;tv_company;programm;genre;category;clip;clip_ID;place_in_block;selling;clip_duration;All 22-45 BC Reg. TVR;All 22-45 BC Reg. Stand. TVR;All 22-45 BC OTS;All 4+ Reg. TVR;All 4+ Reg. Stand. TVR;All 4+ OTS
Пермь;19.01.2015;19:33:11;К14;П550;Ж3;КАТ21;Р11;7742;5;Средний;20;0;0;0;2.59;1.73;25
Пермь;19.01.2015;14:12:15;К14;П545;Ж3;КАТ21;Р11;7742;8;Средний;20;0;0;0;0.19;0.13;2
Пермь;19.01.2015;13:56:27;К14;П545;Ж3;КАТ21;Р13;7757;8;Средний;20;0;0;0;2.32;1.55;23
Пермь;19.01.2015;17:30:19;К14;П558;Ж3;КАТ21;Р12;7858;3;Средний;10;0;0;0;1.54;0.46;15
Пермь;19.01.2015;20:24:28;К20;П154;Ж1;КАТ16;Р13;7757;6;Средний;20;1.45;0.96;6;5.57;3.71;55
Пермь;19.01.2015;13:13:13;К20;П1378;Ж2;КАТ2;Р13;7757;2;Второй;20;0.88;0.59;4;3.38;2.25;33
Пермь;19.01.2015;15:57:20;К20;П392;Ж2;КАТ2;Р11;7742;3;Средний;20;0;0;0;1.3;0.83;13
Пермь;19.01.2015;16:51:03;К20;П392;Ж2;КАТ2;Р13;7757;4;Средний;20;0;0;0;2.49;1.66;24
Пермь;19.01.2015;22:29:30;К20;П303;Ж2;КАТ2;Р11;7742;4;Средний;20;1.98;1.32;8;6.29;4.19;62
Пермь;19.01.2015;11:46:37;К11;П503;Ж2;КАТ2;Р11;7742;1;Первый;20;0;0;0;0.14;0.09;1
Пермь;19.01.2015;10:40:16;К11;П503;Ж2;КАТ2;Р12;7858;1;Первый;10;0;0;0;0;0;0
Пермь;19.01.2015;21:06:40;К11;П192;Ж2;КАТ2;Р13;7757;2;Второй;20;0;0;0;2.1;1.4;21
Пермь;19.01.2015;13:09:10;К22;П993;Ж2;КАТ1;Р14;7798;2;Второй;10;1.23;0.37;5;2.03;0.61;20
Пермь;19.01.2015;11:12:47;К22;П274;Ж2;КАТ1;Р11;7781;11;Последний;10;2.16;0.72;9;1.4;0.47;14
Пермь;19.01.2015;15:07:01;К22;П311;Ж2;КАТ1;Р12;7858;4;Средний;10;0;0;0;1.31;0.44;13
Пермь;19.01.2015;10:11:40;К25;П269;Ж2;КАТ1;Р11;7742;4;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;9:18:01;К25;П269;Ж2;КАТ1;Р13;7757;6;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;12:45:13;К25;П304;Ж1;КАТ32;Р11;7742;4;Средний;20;0;0;0;0.66;0.44;6
Пермь;19.01.2015;13:07:33;К25;П395;Ж1;КАТ32;Р13;7757;11;Средний;20;1.51;1.01;6;0.85;0.57;8
Пермь;19.01.2015;11:09:45;К25;П306;Ж7;КАТ23;Р11;7742;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;11:27:04;К25;П306;Ж7;КАТ23;Р13;7757;6;Средний;20;0;0;0;0.14;0.09;1
Пермь;19.01.2015;14:17:24;К25;П209;Ж5;КАТ4;Р11;7742;4;Средний;20;3.51;2.34;14;1.45;0.97;14
Пермь;19.01.2015;8:34:22;К25;П228;Ж7;КАТ27;Р13;7757;3;Средний;20;0;0;0;0.36;0.24;3
Пермь;19.01.2015;19:06:28;К25;П187;Ж2;КАТ2;Р13;7757;3;Средний;20;0.69;0.46;3;2.99;1.99;29
Пермь;19.01.2015;23:49:59;К25;П188;Ж2;КАТ12;Р11;7742;5;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;12:44:50;К29;П1377;Ж2;КАТ1;Р13;7757;1;Первый;20;2;1.33;8;0.83;0.55;8
Пермь;19.01.2015;14:07:34;К29;П197;Ж2;КАТ2;Р11;7742;1;Первый;20;0;0;0;0;0;0
Пермь;19.01.2015;20:23:18;К29;П197;Ж2;КАТ2;Р11;7742;1;Первый;20;5.4;3.6;22;3.59;2.39;35
Пермь;19.01.2015;17:21:13;К29;П197;Ж2;КАТ2;Р13;7757;4;Средний;20;0;0;0;0.46;0.31;5
Пермь;19.01.2015;14:21:14;К29;П197;Ж2;КАТ2;Р14;7798;1;Первый;10;1.16;0.39;5;0.48;0.16;5
Пермь;19.01.2015;11:10:30;К16;П198;Ж7;КАТ5;Р11;7781;1;Первый;10;0;0;0;0.43;0.14;4
Пермь;19.01.2015;15:11:57;К16;П1309;Ж7;КАТ5;Р14;7798;1;Первый;10;0;0;0;0;0;0
Пермь;19.01.2015;19:08:23;К16;П1093;Ж7;КАТ5;Р11;7742;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;20:33:07;К27;П314;Ж2;КАТ2;Р11;7742;2;Второй;20;0;0;0;0;0;0
Пермь;19.01.2015;15:24:07;К27;П429;Ж7;КАТ19;Р15;7827;3;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;0:21:51;К27;П1346;Ж2;КАТ1;Р13;7757;2;Второй;20;0;0;0;0;0;0
Пермь;19.01.2015;14:21:51;К27;П1293;Ж3;КАТ13;Р11;7742;4;Средний;20;0.88;0.58;4;0.36;0.24;4
Пермь;19.01.2015;11:20:03;К27;П202;Ж2;КАТ12;Р11;7742;4;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;9:36:12;К27;П373;Ж2;КАТ12;Р13;7757;4;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;10:17:25;К27;П373;Ж2;КАТ12;Р13;7757;4;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;18:36:53;К27;П1294;Ж2;КАТ2;Р12;7858;2;Второй;10;0;0;0;0.33;0.11;3
Пермь;19.01.2015;7:41:08;К32;П1297;Ж2;КАТ12;Р13;7757;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;10:11:18;К32;П484;Ж3;КАТ11;Р11;7742;6;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;19:09:16;К32;П484;Ж3;КАТ11;Р11;7742;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;18:49:56;К32;П484;Ж3;КАТ11;Р13;7757;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;19:19:29;К32;П484;Ж3;КАТ11;Р13;7757;2;Второй;20;0;0;0;0;0;0
Пермь;19.01.2015;12:12:09;К32;П484;Ж3;КАТ11;Р14;7798;5;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;15:38:43;К32;П484;Ж3;КАТ11;Р14;7798;4;Средний;10;0;0;0;0.25;0.08;2
Пермь;19.01.2015;17:36:33;К32;П484;Ж3;КАТ11;Р15;7827;2;Второй;10;0;0;0;0;0;0
Пермь;19.01.2015;14:02:04;К32;П552;Ж3;КАТ3;Р11;7781;5;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;13:06:59;К32;П552;Ж3;КАТ3;Р12;7858;3;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;18:24:04;К3;П512;Ж2;КАТ2;Р11;7742;3;Средний;20;0;0;0;0.46;0.31;5
Пермь;19.01.2015;18:38:49;К3;П512;Ж2;КАТ2;Р12;7858;5;Средний;10;0;0;0;0.46;0.15;5
Пермь;19.01.2015;0:22:12;К3;П1313;Ж3;КАТ3;Р15;7827;6;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;17:48:53;К12;П78;Ж1;КАТ16;Р11;7742;6;Средний;20;0;0;0;2.88;1.92;28
Пермь;19.01.2015;23:46:42;К5;П1379;Ж2;КАТ1;Р11;7742;1;Первый;20;0;0;0;0.27;0.17;3
Пермь;19.01.2015;22:49:59;К5;П1379;Ж2;КАТ1;Р13;7757;4;Средний;20;0;0;0;0.75;0.5;7
Пермь;19.01.2015;9:46:16;К5;П1351;Ж2;КАТ1;Р11;7742;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;7:50:39;К5;П1351;Ж2;КАТ1;Р13;7757;3;Предпоследний;20;0;0;0;0.95;0.63;9
Пермь;19.01.2015;23:39:56;К7;П1112;Ж8;КАТ10;Р13;7757;2;Второй;20;0;0;0;0;0;0
Пермь;19.01.2015;18:29:39;К7;П136;Ж8;КАТ14;Р11;7781;2;Второй;10;0;0;0;0;0;0
Пермь;19.01.2015;22:51:57;К7;П1221;Ж8;КАТ18;Р11;7742;3;Средний;20;0;0;0;0;0;0
Пермь;19.01.2015;15:31:48;К7;П286;Ж8;КАТ22;Р12;7858;3;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;18:32:08;К20;П563;Ж3;КАТ21;Р16;9581;1;Первый;10;0;0;0;1.31;0.44;13
Пермь;19.01.2015;9:37:46;К22;П274;Ж2;КАТ1;Р16;9581;3;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;18:10:59;К25;П187;Ж2;КАТ2;Р16;9581;4;Средний;10;0;0;0;1.05;0.35;10
Пермь;19.01.2015;13:06:08;К16;П198;Ж7;КАТ5;Р16;9581;1;Первый;10;0;0;0;0;0;0
Пермь;19.01.2015;18:39:29;К32;П484;Ж3;КАТ11;Р16;9581;4;Средний;10;0;0;0;0;0;0
Пермь;19.01.2015;13:38:35;К32;П552;Ж3;КАТ3;Р16;9581;2;Второй;10;0;0;0;0;0;0
Пермь;19.01.2015;17:34:02;К7;П136;Ж8;КАТ14;Р16;9581;3;Средний;10;0;0;0;0;0;0
Москва;20.01.2015;23:09:52;К19;П303;Ж2;КАТ2;Р5;143;3;Средний;10;2.46;0.82;100;2.31;0.77;323
Москва;20.01.2015;11:52:44;К24;П225;Ж1;КАТ16;Р1;141;8;Предпоследний;10;0.24;0.08;10;0.48;0.16;67
Москва;20.01.2015;9:10:57;К24;П321;Ж2;КАТ1;Р3;144;6;Средний;10;0.06;0.02;3;0.17;0.06;24
Москва;20.01.2015;8:46:12;К24;П321;Ж2;КАТ1;Р2;145;9;Предпоследний;10;0.06;0.02;3;0.14;0.05;20
Москва;20.01.2015;8:08:05;К24;П322;Ж2;КАТ7;Р1;141;1;Первый;10;0;0;0;0.05;0.02;7
Москва;20.01.2015;22:56:39;К24;П209;Ж5;КАТ4;Р3;144;2;Второй;10;0.52;0.17;21;1.54;0.51;214
Москва;20.01.2015;23:32:55;К24;П323;Ж2;КАТ12;Р4;142;7;Предпоследний;10;0.7;0.23;28;2.09;0.7;291
Москва;20.01.2015;23:42:39;К24;П323;Ж2;КАТ12;Р5;143;3;Средний;10;0.7;0.23;28;1.76;0.59;246
Москва;20.01.2015;13:35:26;К24;П211;Ж2;КАТ2;Р3;144;4;Средний;10;0.46;0.15;19;0.49;0.16;68
Москва;20.01.2015;12:26:34;К24;П211;Ж2;КАТ2;Р2;145;10;Последний;10;0.24;0.08;10;0.35;0.12;49
Москва;20.01.2015;16:35:02;К24;П307;Ж2;КАТ1;Р1;141;4;Средний;10;0.24;0.08;10;0.3;0.1;41
Москва;20.01.2015;16:52:46;К24;П307;Ж2;КАТ1;Р2;145;7;Предпоследний;10;0.18;0.06;7;0.47;0.16;65
Москва;20.01.2015;11:27:26;К24;П324;Ж2;КАТ7;Р4;142;1;Первый;10;0.06;0.02;3;0.51;0.17;71
Москва;20.01.2015;11:06:45;К24;П324;Ж2;КАТ7;Р5;143;1;Первый;10;0.06;0.02;3;0.69;0.23;96
Москва;20.01.2015;13:51:47;К24;П212;Ж3;КАТ28;Р4;142;10;Последний;10;0.06;0.02;3;0.41;0.14;57
Москва;20.01.2015;14:04:36;К24;П212;Ж3;КАТ28;Р5;143;5;Средний;10;0.06;0.02;3;0.26;0.09;37
Москва;20.01.2015;0:21:54;К10;П310;Ж2;КАТ2;Р4;142;1;Первый;10;0.75;0.25;31;2.28;0.76;318
Москва;20.01.2015;0:22:44;К10;П310;Ж2;КАТ2;Р5;143;5;Последний;10;0.75;0.25;31;2.19;0.73;306
Москва;20.01.2015;8:44:53;К1;П97;Ж1;КАТ16;Р1;141;4;Средний;10;0;0;0;0.05;0.02;7
Москва;20.01.2015;14:52:27;К1;П98;Ж1;КАТ16;Р2;145;1;Первый;10;0;0;0;0;0;0
Москва;20.01.2015;17:16:20;К1;П34;Ж1;КАТ16;Р3;144;1;Первый;10;0;0;0;0;0;0
Москва;20.01.2015;19:12:10;К1;П100;Ж1;КАТ16;Р4;142;6;Последний;10;0;0;0;0.06;0.02;8
Москва;20.01.2015;21:26:51;К1;П35;Ж1;КАТ16;Р5;143;4;Средний;10;0;0;0;0;0;0
Москва;20.01.2015;22:22:56;К1;П36;Ж1;КАТ16;Р1;141;2;Второй;10;0;0;0;0;0;0
Москва;20.01.2015;18:05:15;К21;П325;Ж2;КАТ1;Р1;141;2;Второй;10;0.44;0.15;18;0.43;0.14;60
Москва;20.01.2015;12:08:43;К21;П8;Ж3;КАТ3;Р4;142;2;Второй;10;0.22;0.07;9;0.77;0.26;107
Москва;20.01.2015;0:52:48;К21;П8;Ж3;КАТ3;Р4;142;2;Второй;10;0.39;0.13;16;0.38;0.13;53
Москва;20.01.2015;13:44:09;К21;П8;Ж3;КАТ3;Р5;143;5;Средний;10;0.61;0.2;25;0.64;0.21;89
Москва;20.01.2015;0:10:58;К21;П8;Ж3;КАТ3;Р2;145;10;Предпоследний;10;1.46;0.49;60;0.83;0.28;115
Москва;20.01.2015;0:25:23;К21;П8;Ж3;КАТ3;Р2;145;2;Второй;10;1.18;0.39;48;0.76;0.25;106
Москва;20.01.2015;22:52:02;К21;П326;Ж2;КАТ1;Р1;141;5;Средний;10;3.12;1.04;127;1.93;0.64;270
Москва;20.01.2015;23:32:51;К21;П196;Ж2;КАТ2;Р2;145;4;Предпоследний;10;1.95;0.65;80;1.12;0.37;157
Москва;20.01.2015;20:34:32;К26;П314;Ж2;КАТ2;Р2;145;7;Средний;10;0.84;0.28;34;0.5;0.17;70
Москва;20.01.2015;21:29:05;К26;П106;Ж2;КАТ2;Р1;141;3;Средний;10;1.55;0.52;63;1.27;0.42;177
Москва;20.01.2015;22:33:19;К26;П106;Ж2;КАТ2;Р3;144;7;Средний;10;1.06;0.35;43;1.18;0.39;165
Москва;20.01.2015;9:25:04;К18;П281;Ж5;КАТ40;Р2;145;3;Средний;10;0.34;0.11;14;0.47;0.16;66
Москва;20.01.2015;8:57:41;К18;П315;Ж1;КАТ16;Р1;141;5;Средний;10;0.4;0.13;16;0.31;0.1;43
Москва;20.01.2015;21:50:42;К18;П327;Ж2;КАТ1;Р1;141;9;Последний;10;0.27;0.09;11;1.16;0.39;162
Москва;20.01.2015;20:16:26;К18;П327;Ж2;КАТ1;Р4;142;1;Первый;10;0.21;0.07;8;0.49;0.16;69
Москва;20.01.2015;21:27:19;К18;П327;Ж2;КАТ1;Р5;143;6;Последний;10;0.12;0.04;5;0.98;0.33;137
Москва;20.01.2015;19:24:21;К18;П204;Ж1;КАТ42;Р3;144;4;Средний;10;0.89;0.3;36;0.97;0.32;136
Москва;20.01.2015;19:15:39;К18;П204;Ж1;КАТ42;Р2;145;5;Средний;10;1.42;0.47;58;1.2;0.4;167
Москва;20.01.2015;12:15:54;К18;П259;Ж1;КАТ42;Р3;144;2;Второй;10;0.77;0.26;31;0.68;0.23;95
Москва;20.01.2015;7:11:44;К18;П206;Ж3;КАТ20;Р5;143;8;Средний;10;0;0;0;0.06;0.02;8
Москва;20.01.2015;15:04:31;К18;П328;Ж3;КАТ3;Р5;143;5;Средний;10;0.59;0.2;24;0.9;0.3;125
Москва;20.01.2015;17:10:03;К18;П222;Ж2;КАТ12;Р1;141;8;Средний;10;0.56;0.19;23;0.91;0.3;126
Москва;20.01.2015;22:29:09;К18;П329;Ж3;КАТ20;Р3;144;1;Первый;10;0.16;0.05;6;0.57;0.19;80
Москва;20.01.2015;22:29:59;К18;П329;Ж3;КАТ20;Р2;145;6;Последний;10;0.16;0.05;6;0.57;0.19;80
Москва;20.01.2015;20:55:43;К9;П13;Ж1;КАТ34;Р3;144;1;Первый;10;0.19;0.06;8;0.26;0.09;37
Москва;20.01.2015;8:57:34;К9;П50;Ж1;КАТ41;Р4;142;1;Первый;10;0.18;0.06;7;0.29;0.1;40
Москва;20.01.2015;15:57:29;К9;П50;Ж1;КАТ41;Р5;143;8;Средний;10;0;0;0;0.14;0.05;20
Москва;20.01.2015;9:57:17;К9;П50;Ж1;КАТ41;Р2;145;1;Первый;10;0;0;0;0.2;0.07;28
Москва;20.01.2015;12:54:30;К9;П14;Ж5;КАТ44;Р1;141;2;Второй;10;0.43;0.14;17;0.5;0.17;70
Москва;20.01.2015;21:54:04;К9;П14;Ж5;КАТ44;Р1;141;1;Первый;10;0.28;0.09;11;0.2;0.07;28
Москва;20.01.2015;16:53:28;К9;П14;Ж5;КАТ44;Р4;142;2;Второй;10;0;0;0;0.14;0.05;19
Москва;20.01.2015;10:55:07;К9;П14;Ж5;КАТ44;Р3;144;4;Последний;10;0.59;0.2;24;0.5;0.17;69
Москва;20.01.2015;17:56:18;К9;П14;Ж5;КАТ44;Р2;145;4;Последний;10;0;0;0;0.14;0.05;19
Москва;20.01.2015;20:11:30;К23;П52;Ж2;КАТ2;Р3;144;9;Средний;10;1.08;0.36;44;0.51;0.17;71
Москва;20.01.2015;0:25:49;К6;П136;Ж8;КАТ14;Р4;142;6;Средний;10;0;0;0;0.08;0.03;10
Москва;20.01.2015;6:42:06;К6;П330;Ж2;КАТ7;Р2;145;5;Средний;10;0;0;0;0;0;0
Пермь;20.01.2015;19:35:57;К14;П550;Ж3;КАТ21;Р13;7757;3;Средний;20;0.95;0.6;4;2.79;1.77;27
Пермь;20.01.2015;14:13:29;К14;П1304;Ж2;КАТ2;Р11;7742;6;Средний;20;0;0;0;1.04;0.66;10
Пермь;20.01.2015;12:39:00;К14;П1304;Ж2;КАТ2;Р13;7757;4;Средний;20;0;0;0;1.12;0.71;11
Пермь;20.01.2015;20:24:01;К20;П154;Ж1;КАТ16;Р11;7742;3;Средний;20;3.61;2.41;15;3.86;2.58;38
Пермь;20.01.2015;13:35:03;К20;П1378;Ж2;КАТ2;Р11;7742;3;Средний;20;0;0;0;4.1;2.74;40
Пермь;20.01.2015;12:52:53;К20;П1378;Ж2;КАТ2;Р13;7757;4;Средний;20;0;0;0;2.49;1.66;24
Пермь;20.01.2015;15:20:10;К20;П392;Ж2;КАТ2;Р11;7742;5;Средний;20;0;0;0;2;1.33;20
Пермь;20.01.2015;16:16:43;К20;П392;Ж2;КАТ2;Р13;7757;6;Средний;20;0;0;0;2.7;1.71;26
